"isono","year","sexno","ageno","eduno","ggapedu15"
4,1970,0,0,0,NA
4,1970,0,0,1,NA
4,1970,0,0,2,0.71
4,1970,0,0,3,1.94
4,1970,0,0,4,2
4,1970,0,0,5,2.54
4,1970,0,0,6,3.25
4,1970,0,0,7,4.41
4,1975,0,0,0,NA
4,1975,0,0,1,NA
4,1975,0,0,2,0.69
4,1975,0,0,3,1.81
4,1975,0,0,4,1.86
4,1975,0,0,5,2.33
4,1975,0,0,6,2.95
4,1975,0,0,7,3.95
4,1980,0,0,0,NA
4,1980,0,0,1,NA
4,1980,0,0,2,0.68
4,1980,0,0,3,1.68
4,1980,0,0,4,1.73
4,1980,0,0,5,2.2
4,1980,0,0,6,2.65
4,1980,0,0,7,3.55
4,1985,0,0,0,NA
4,1985,0,0,1,NA
4,1985,0,0,2,0.66
4,1985,0,0,3,1.55
4,1985,0,0,4,1.61
4,1985,0,0,5,2.1
4,1985,0,0,6,2.43
4,1985,0,0,7,3.18
4,1990,0,0,0,NA
4,1990,0,0,1,NA
4,1990,0,0,2,0.65
4,1990,0,0,3,1.43
4,1990,0,0,4,1.5
4,1990,0,0,5,1.89
4,1990,0,0,6,2.26
4,1990,0,0,7,2.89
4,1995,0,0,0,NA
4,1995,0,0,1,NA
4,1995,0,0,2,0.64
4,1995,0,0,3,1.33
4,1995,0,0,4,1.4
4,1995,0,0,5,1.66
4,1995,0,0,6,2.05
4,1995,0,0,7,2.6
4,2000,0,0,0,NA
4,2000,0,0,1,NA
4,2000,0,0,2,0.64
4,2000,0,0,3,1.24
4,2000,0,0,4,1.29
4,2000,0,0,5,1.52
4,2000,0,0,6,1.81
4,2000,0,0,7,2.28
4,2005,0,0,0,NA
4,2005,0,0,1,NA
4,2005,0,0,2,0.64
4,2005,0,0,3,1.21
4,2005,0,0,4,1.2
4,2005,0,0,5,1.43
4,2005,0,0,6,1.6
4,2005,0,0,7,2.03
4,2010,0,0,0,NA
4,2010,0,0,1,NA
4,2010,0,0,2,0.64
4,2010,0,0,3,1.24
4,2010,0,0,4,1.12
4,2010,0,0,5,1.43
4,2010,0,0,6,1.4
4,2010,0,0,7,1.7
4,2015,0,0,0,NA
4,2015,0,0,1,NA
4,2015,0,0,2,0.64
4,2015,0,0,3,1.2
4,2015,0,0,4,1.1
4,2015,0,0,5,1.41
4,2015,0,0,6,1.37
4,2015,0,0,7,1.65
4,2020,0,0,0,NA
4,2020,0,0,1,NA
4,2020,0,0,2,0.62
4,2020,0,0,3,1.13
4,2020,0,0,4,1.04
4,2020,0,0,5,1.25
4,2020,0,0,6,1.22
4,2020,0,0,7,1.46
4,2025,0,0,0,NA
4,2025,0,0,1,NA
4,2025,0,0,2,0.62
4,2025,0,0,3,1.14
4,2025,0,0,4,1.02
4,2025,0,0,5,1.23
4,2025,0,0,6,1.14
4,2025,0,0,7,1.37
4,2030,0,0,0,NA
4,2030,0,0,1,NA
4,2030,0,0,2,0.62
4,2030,0,0,3,1.14
4,2030,0,0,4,1.02
4,2030,0,0,5,1.25
4,2030,0,0,6,1.08
4,2030,0,0,7,1.3
4,2035,0,0,0,NA
4,2035,0,0,1,NA
4,2035,0,0,2,0.61
4,2035,0,0,3,1.13
4,2035,0,0,4,1.02
4,2035,0,0,5,1.29
4,2035,0,0,6,1.05
4,2035,0,0,7,1.24
4,2040,0,0,0,NA
4,2040,0,0,1,NA
4,2040,0,0,2,0.61
4,2040,0,0,3,1.1
4,2040,0,0,4,1.04
4,2040,0,0,5,1.33
4,2040,0,0,6,1.03
4,2040,0,0,7,1.2
4,2045,0,0,0,NA
4,2045,0,0,1,NA
4,2045,0,0,2,0.6
4,2045,0,0,3,1.07
4,2045,0,0,4,1.05
4,2045,0,0,5,1.39
4,2045,0,0,6,1.01
4,2045,0,0,7,1.17
4,2050,0,0,0,NA
4,2050,0,0,1,NA
4,2050,0,0,2,0.6
4,2050,0,0,3,1.03
4,2050,0,0,4,1.07
4,2050,0,0,5,1.45
4,2050,0,0,6,1
4,2050,0,0,7,1.14
4,2055,0,0,0,NA
4,2055,0,0,1,NA
4,2055,0,0,2,0.59
4,2055,0,0,3,0.99
4,2055,0,0,4,1.08
4,2055,0,0,5,1.51
4,2055,0,0,6,1
4,2055,0,0,7,1.12
4,2060,0,0,0,NA
4,2060,0,0,1,NA
4,2060,0,0,2,0.59
4,2060,0,0,3,0.96
4,2060,0,0,4,1.08
4,2060,0,0,5,1.56
4,2060,0,0,6,1
4,2060,0,0,7,1.1
4,2065,0,0,0,NA
4,2065,0,0,1,NA
4,2065,0,0,2,0.61
4,2065,0,0,3,0.92
4,2065,0,0,4,1.09
4,2065,0,0,5,1.59
4,2065,0,0,6,1
4,2065,0,0,7,1.09
4,2070,0,0,0,NA
4,2070,0,0,1,NA
4,2070,0,0,2,0.63
4,2070,0,0,3,0.9
4,2070,0,0,4,1.09
4,2070,0,0,5,1.63
4,2070,0,0,6,1.01
4,2070,0,0,7,1.07
4,2075,0,0,0,NA
4,2075,0,0,1,NA
4,2075,0,0,2,0.67
4,2075,0,0,3,0.88
4,2075,0,0,4,1.09
4,2075,0,0,5,1.66
4,2075,0,0,6,1.01
4,2075,0,0,7,1.06
4,2080,0,0,0,NA
4,2080,0,0,1,NA
4,2080,0,0,2,0.72
4,2080,0,0,3,0.84
4,2080,0,0,4,1.08
4,2080,0,0,5,1.68
4,2080,0,0,6,1.02
4,2080,0,0,7,1.05
4,2085,0,0,0,NA
4,2085,0,0,1,NA
4,2085,0,0,2,0.78
4,2085,0,0,3,0.78
4,2085,0,0,4,1.06
4,2085,0,0,5,1.69
4,2085,0,0,6,1.03
4,2085,0,0,7,1.04
4,2090,0,0,0,NA
4,2090,0,0,1,NA
4,2090,0,0,2,0.83
4,2090,0,0,3,0.71
4,2090,0,0,4,1.02
4,2090,0,0,5,1.69
4,2090,0,0,6,1.04
4,2090,0,0,7,1.03
4,2095,0,0,0,NA
4,2095,0,0,1,NA
4,2095,0,0,2,0.85
4,2095,0,0,3,0.65
4,2095,0,0,4,0.97
4,2095,0,0,5,1.68
4,2095,0,0,6,1.05
4,2095,0,0,7,1.02
4,2100,0,0,0,NA
4,2100,0,0,1,NA
4,2100,0,0,2,0.86
4,2100,0,0,3,0.6
4,2100,0,0,4,0.92
4,2100,0,0,5,1.67
4,2100,0,0,6,1.05
4,2100,0,0,7,1.01
8,1970,0,0,0,NA
8,1970,0,0,1,NA
8,1970,0,0,2,0.56
8,1970,0,0,3,0.79
8,1970,0,0,4,1.06
8,1970,0,0,5,1.17
8,1970,0,0,6,2.37
8,1970,0,0,7,3.13
8,1975,0,0,0,NA
8,1975,0,0,1,NA
8,1975,0,0,2,0.55
8,1975,0,0,3,0.76
8,1975,0,0,4,0.91
8,1975,0,0,5,1.11
8,1975,0,0,6,1.91
8,1975,0,0,7,2.68
8,1980,0,0,0,NA
8,1980,0,0,1,NA
8,1980,0,0,2,0.53
8,1980,0,0,3,0.81
8,1980,0,0,4,0.89
8,1980,0,0,5,1.16
8,1980,0,0,6,1.67
8,1980,0,0,7,2.59
8,1985,0,0,0,NA
8,1985,0,0,1,NA
8,1985,0,0,2,0.52
8,1985,0,0,3,0.78
8,1985,0,0,4,0.85
8,1985,0,0,5,1.1
8,1985,0,0,6,1.47
8,1985,0,0,7,2.26
8,1990,0,0,0,NA
8,1990,0,0,1,NA
8,1990,0,0,2,0.48
8,1990,0,0,3,0.81
8,1990,0,0,4,0.86
8,1990,0,0,5,1.04
8,1990,0,0,6,1.35
8,1990,0,0,7,1.95
8,1995,0,0,0,NA
8,1995,0,0,1,NA
8,1995,0,0,2,0.44
8,1995,0,0,3,0.8
8,1995,0,0,4,0.84
8,1995,0,0,5,0.98
8,1995,0,0,6,1.22
8,1995,0,0,7,1.74
8,2000,0,0,0,NA
8,2000,0,0,1,NA
8,2000,0,0,2,0.44
8,2000,0,0,3,0.87
8,2000,0,0,4,0.88
8,2000,0,0,5,0.94
8,2000,0,0,6,1.12
8,2000,0,0,7,1.56
8,2005,0,0,0,NA
8,2005,0,0,1,NA
8,2005,0,0,2,0.43
8,2005,0,0,3,0.82
8,2005,0,0,4,0.83
8,2005,0,0,5,0.97
8,2005,0,0,6,1.05
8,2005,0,0,7,1.36
8,2010,0,0,0,NA
8,2010,0,0,1,NA
8,2010,0,0,2,0.46
8,2010,0,0,3,0.84
8,2010,0,0,4,0.81
8,2010,0,0,5,1
8,2010,0,0,6,1.01
8,2010,0,0,7,1.19
8,2015,0,0,0,NA
8,2015,0,0,1,NA
8,2015,0,0,2,0.42
8,2015,0,0,3,0.74
8,2015,0,0,4,0.73
8,2015,0,0,5,1.02
8,2015,0,0,6,1.03
8,2015,0,0,7,0.97
8,2020,0,0,0,NA
