"isono","year","sexno","ageno","eduno","ydr"
40,2080,0,0,0,0.18
40,2085,0,0,0,0.18
40,2090,0,0,0,0.18
40,2095,0,0,0,0.18
40,2100,0,0,0,0.18
44,1970,0,0,0,0.78
44,1975,0,0,0,0.72
44,1980,0,0,0,0.63
44,1985,0,0,0,0.57
44,1990,0,0,0,0.51
44,1995,0,0,0,0.49
44,2000,0,0,0,0.45
44,2005,0,0,0,0.38
44,2010,0,0,0,0.32
44,2015,0,0,0,0.29
44,2020,0,0,0,0.3
44,2025,0,0,0,0.31
44,2030,0,0,0,0.32
44,2035,0,0,0,0.32
44,2040,0,0,0,0.31
44,2045,0,0,0,0.31
44,2050,0,0,0,0.31
44,2055,0,0,0,0.32
44,2060,0,0,0,0.33
44,2065,0,0,0,0.33
44,2070,0,0,0,0.32
44,2075,0,0,0,0.32
44,2080,0,0,0,0.31
44,2085,0,0,0,0.32
44,2090,0,0,0,0.32
44,2095,0,0,0,0.33
44,2100,0,0,0,0.33
48,1970,0,0,0,0.85
48,1975,0,0,0,0.68
48,1980,0,0,0,0.54
48,1985,0,0,0,0.52
48,1990,0,0,0,0.5
48,1995,0,0,0,0.45
48,2000,0,0,0,0.4
48,2005,0,0,0,0.39
48,2010,0,0,0,0.26
48,2015,0,0,0,0.26
48,2020,0,0,0,0.28
48,2025,0,0,0,0.29
48,2030,0,0,0,0.27
48,2035,0,0,0,0.26
48,2040,0,0,0,0.27
48,2045,0,0,0,0.29
48,2050,0,0,0,0.32
48,2055,0,0,0,0.33
48,2060,0,0,0,0.32
48,2065,0,0,0,0.31
48,2070,0,0,0,0.3
48,2075,0,0,0,0.31
48,2080,0,0,0,0.31
48,2085,0,0,0,0.31
48,2090,0,0,0,0.31
48,2095,0,0,0,0.3
48,2100,0,0,0,0.31
50,1970,0,0,0,0.86
50,1975,0,0,0,0.9
50,1980,0,0,0,0.88
50,1985,0,0,0,0.84
50,1990,0,0,0,0.79
50,1995,0,0,0,0.72
50,2000,0,0,0,0.64
50,2005,0,0,0,0.56
50,2010,0,0,0,0.49
50,2015,0,0,0,0.43
50,2020,0,0,0,0.4
50,2025,0,0,0,0.39
50,2030,0,0,0,0.38
50,2035,0,0,0,0.37
50,2040,0,0,0,0.35
50,2045,0,0,0,0.34
50,2050,0,0,0,0.34
50,2055,0,0,0,0.34
50,2060,0,0,0,0.34
50,2065,0,0,0,0.34
50,2070,0,0,0,0.33
50,2075,0,0,0,0.33
50,2080,0,0,0,0.33
50,2085,0,0,0,0.34
50,2090,0,0,0,0.34
50,2095,0,0,0,0.34
50,2100,0,0,0,0.35
51,1970,0,0,0,0.71
51,1975,0,0,0,0.57
51,1980,0,0,0,0.48
51,1985,0,0,0,0.47
51,1990,0,0,0,0.47
51,1995,0,0,0,0.47
51,2000,0,0,0,0.4
51,2005,0,0,0,0.33
51,2010,0,0,0,0.29
51,2015,0,0,0,0.3
51,2020,0,0,0,0.3
51,2025,0,0,0,0.29
51,2030,0,0,0,0.29
51,2035,0,0,0,0.29
51,2040,0,0,0,0.29
51,2045,0,0,0,0.29
51,2050,0,0,0,0.3
51,2055,0,0,0,0.31
51,2060,0,0,0,0.32
51,2065,0,0,0,0.32
51,2070,0,0,0,0.32
51,2075,0,0,0,0.33
51,2080,0,0,0,0.33
51,2085,0,0,0,0.33
51,2090,0,0,0,0.33
51,2095,0,0,0,0.33
51,2100,0,0,0,0.33
52,1970,0,0,0,0.68
52,1975,0,0,0,0.54
52,1980,0,0,0,0.49
52,1985,0,0,0,0.42
52,1990,0,0,0,0.36
52,1995,0,0,0,0.35
52,2000,0,0,0,0.33
52,2005,0,0,0,0.28
52,2010,0,0,0,0.24
52,2015,0,0,0,0.22
52,2020,0,0,0,0.22
52,2025,0,0,0,0.23
52,2030,0,0,0,0.25
52,2035,0,0,0,0.25
52,2040,0,0,0,0.25
52,2045,0,0,0,0.25
52,2050,0,0,0,0.26
52,2055,0,0,0,0.27
52,2060,0,0,0,0.29
52,2065,0,0,0,0.3
52,2070,0,0,0,0.3
52,2075,0,0,0,0.3
52,2080,0,0,0,0.3
52,2085,0,0,0,0.31
52,2090,0,0,0,0.31
52,2095,0,0,0,0.32
52,2100,0,0,0,0.33
56,1970,0,0,0,0.37
56,1975,0,0,0,0.35
56,1980,0,0,0,0.32
56,1985,0,0,0,0.29
56,1990,0,0,0,0.27
56,1995,0,0,0,0.27
56,2000,0,0,0,0.26
56,2005,0,0,0,0.26
56,2010,0,0,0,0.26
56,2015,0,0,0,0.26
56,2020,0,0,0,0.25
56,2025,0,0,0,0.24
56,2030,0,0,0,0.23
56,2035,0,0,0,0.22
56,2040,0,0,0,0.21
56,2045,0,0,0,0.21
56,2050,0,0,0,0.21
56,2055,0,0,0,0.21
56,2060,0,0,0,0.2
56,2065,0,0,0,0.2
56,2070,0,0,0,0.2
