"isono","year","sexno","ageno","eduno","macb"
887,2015,2,0,2,27
850,2015,2,0,2,29.2
768,2015,2,0,2,28
830,2015,2,0,2,29.7
40,2015,2,0,2,31.6
70,2015,2,0,2,28.5
76,2015,2,0,2,24.6
108,2015,2,0,2,29.6
116,2015,2,0,2,28.6
231,2015,2,0,2,28.4
246,2015,2,0,2,31.8
250,2015,2,0,2,30.9
254,2015,2,0,2,26.8
276,2015,2,0,2,31.9
312,2015,2,0,2,28.6
352,2015,2,0,2,31.7
360,2015,2,0,2,27.2
392,2015,2,0,2,30.5
398,2015,2,0,2,27.9
410,2015,2,0,2,34.6
426,2015,2,0,2,25.7
450,2015,2,0,2,26.3
454,2015,2,0,2,26.9
470,2015,2,0,2,28.2
474,2015,2,0,2,27.8
484,2015,2,0,2,26.2
533,2015,2,0,2,28.1
540,2015,2,0,2,28.5
548,2015,2,0,2,27.9
566,2015,2,0,2,28
578,2015,2,0,2,31.8
591,2015,2,0,2,25.6
626,2015,2,0,2,29.1
634,2015,2,0,2,29.7
638,2015,2,0,2,27.3
678,2015,2,0,2,26.9
702,2015,2,0,2,30.1
704,2015,2,0,2,27.3
736,2015,2,0,2,28.4
752,2015,2,0,2,32
762,2015,2,0,2,27.3
788,2015,2,0,2,33
807,2015,2,0,2,28.5
8,2015,2,0,2,27.7
12,2015,2,0,2,30.6
31,2015,2,0,2,25
32,2015,2,0,2,26.8
36,2015,2,0,2,31.2
44,2015,2,0,2,27.4
48,2015,2,0,2,29.7
50,2015,2,0,2,26.5
51,2015,2,0,2,26.4
56,2015,2,0,2,33.8
64,2015,2,0,2,28
68,2015,2,0,2,26.6
84,2015,2,0,2,25.6
100,2015,2,0,2,27.9
104,2015,2,0,2,29.5
112,2015,2,0,2,28.1
120,2015,2,0,2,26.2
124,2015,2,0,2,29.9
132,2015,2,0,2,23.2
140,2015,2,0,2,26.8
148,2015,2,0,2,26.3
152,2015,2,0,2,26.5
156,2015,2,0,2,26.7
170,2015,2,0,2,26
174,2015,2,0,2,27.9
178,2015,2,0,2,26
180,2015,2,0,2,25.7
188,2015,2,0,2,25.4
191,2015,2,0,2,28.5
192,2015,2,0,2,25.5
196,2015,2,0,2,29.2
203,2015,2,0,2,30.6
204,2015,2,0,2,27.4
208,2015,2,0,2,32
214,2015,2,0,2,24
218,2015,2,0,2,25.6
222,2015,2,0,2,25.5
226,2015,2,0,2,25.5
233,2015,2,0,2,29.7
258,2015,2,0,2,26
266,2015,2,0,2,25.7
268,2015,2,0,2,26.7
270,2015,2,0,2,28
275,2015,2,0,2,27.3
288,2015,2,0,2,28.1
300,2015,2,0,2,30.6
320,2015,2,0,2,25.8
324,2015,2,0,2,26.6
328,2015,2,0,2,24.3
332,2015,2,0,2,28.9
340,2015,2,0,2,26
344,2015,2,0,2,30.9
348,2015,2,0,2,30.2
356,2015,2,0,2,24.9
364,2015,2,0,2,28.5
368,2015,2,0,2,26.8
372,2015,2,0,2,31.5
376,2015,2,0,2,30.6
380,2015,2,0,2,32
384,2015,2,0,2,26.6
388,2015,2,0,2,24.3
400,2015,2,0,2,27.8
404,2015,2,0,2,26.5
414,2015,2,0,2,31.2
417,2015,2,0,2,26.3
418,2015,2,0,2,28.2
422,2015,2,0,2,28.3
428,2015,2,0,2,29.6
430,2015,2,0,2,27.3
440,2015,2,0,2,29.2
442,2015,2,0,2,32.5
446,2015,2,0,2,29.1
458,2015,2,0,2,29
462,2015,2,0,2,27.8
466,2015,2,0,2,26.6
480,2015,2,0,2,26.4
496,2015,2,0,2,28
498,2015,2,0,2,27.2
499,2015,2,0,2,28.4
504,2015,2,0,2,31.5
508,2015,2,0,2,26
516,2015,2,0,2,27.4
524,2015,2,0,2,24.6
528,2015,2,0,2,31.1
530,2015,2,0,2,27.2
554,2015,2,0,2,30.2
558,2015,2,0,2,25
562,2015,2,0,2,26.6
586,2015,2,0,2,28.1
600,2015,2,0,2,26.4
604,2015,2,0,2,27.6
608,2015,2,0,2,26.6
616,2015,2,0,2,29
620,2015,2,0,2,30.9
624,2015,2,0,2,27.5
630,2015,2,0,2,25.9
642,2015,2,0,2,28.2
643,2015,2,0,2,28.4
646,2015,2,0,2,28.9
662,2015,2,0,2,26.2
670,2015,2,0,2,23.6
682,2015,2,0,2,30.5
686,2015,2,0,2,27.3
688,2015,2,0,2,27.6
694,2015,2,0,2,27.5
703,2015,2,0,2,30.4
705,2015,2,0,2,42.3
706,2015,2,0,2,28.6
710,2015,2,0,2,26.4
716,2015,2,0,2,26
724,2015,2,0,2,29.8
740,2015,2,0,2,26.7
748,2015,2,0,2,26.1
756,2015,2,0,2,33.2
760,2015,2,0,2,27.6
764,2015,2,0,2,26.9
776,2015,2,0,2,28.5
780,2015,2,0,2,27.2
784,2015,2,0,2,28.6
792,2015,2,0,2,27.6
795,2015,2,0,2,28
800,2015,2,0,2,25.9
804,2015,2,0,2,28
818,2015,2,0,2,28.3
826,2015,2,0,2,30.5
834,2015,2,0,2,25.9
840,2015,2,0,2,27.4
854,2015,2,0,2,27.4
858,2015,2,0,2,26.1
862,2015,2,0,2,24.9
882,2015,2,0,2,26.3
894,2015,2,0,2,25.8
4,2020,2,0,2,26.5
72,2020,2,0,2,27.5
144,2020,2,0,2,28.5
175,2020,2,0,2,27.2
90,2020,2,0,2,27.1
96,2020,2,0,2,28.8
583,2020,2,0,2,29.8
478,2020,2,0,2,28.6
316,2020,2,0,2,26.6
408,2020,2,0,2,28.5
308,2020,2,0,2,28.1
52,2020,2,0,2,28.7
232,2020,2,0,2,28.7
434,2020,2,0,2,32.5
24,2020,2,0,2,25.7
242,2020,2,0,2,27.4
598,2020,2,0,2,27.1
860,2020,2,0,2,28.6
262,2020,2,0,2,29.3
512,2020,2,0,2,29.4
887,2020,2,0,2,27.3
850,2020,2,0,2,30.1
768,2020,2,0,2,27.9
830,2020,2,0,2,30.5
40,2020,2,0,2,32.1
70,2020,2,0,2,29.1
76,2020,2,0,2,24.6
108,2020,2,0,2,29.1
116,2020,2,0,2,28.6
231,2020,2,0,2,27.9
246,2020,2,0,2,32
250,2020,2,0,2,31
254,2020,2,0,2,27.2
276,2020,2,0,2,32.1
312,2020,2,0,2,29.2
352,2020,2,0,2,32
360,2020,2,0,2,27.1
392,2020,2,0,2,30.3
398,2020,2,0,2,28.7
410,2020,2,0,2,34
426,2020,2,0,2,26
450,2020,2,0,2,26.2
454,2020,2,0,2,26.3
470,2020,2,0,2,29.2
474,2020,2,0,2,28.9
484,2020,2,0,2,26.1
533,2020,2,0,2,28.8
540,2020,2,0,2,29
548,2020,2,0,2,27.6
566,2020,2,0,2,27.6
578,2020,2,0,2,32.1
591,2020,2,0,2,25.5
626,2020,2,0,2,28.3
634,2020,2,0,2,29.3
638,2020,2,0,2,27.8
678,2020,2,0,2,26.6
702,2020,2,0,2,31
704,2020,2,0,2,27.6
736,2020,2,0,2,28.1
752,2020,2,0,2,32.2
762,2020,2,0,2,27.5
788,2020,2,0,2,32.8
807,2020,2,0,2,29
8,2020,2,0,2,28.6
12,2020,2,0,2,30.8
31,2020,2,0,2,26.1
32,2020,2,0,2,27.3
36,2020,2,0,2,30.7
44,2020,2,0,2,28.8
48,2020,2,0,2,29.2
50,2020,2,0,2,26
51,2020,2,0,2,27
56,2020,2,0,2,32.4
64,2020,2,0,2,27.8
68,2020,2,0,2,26.3
84,2020,2,0,2,26.1
100,2020,2,0,2,28.8
104,2020,2,0,2,30.3
112,2020,2,0,2,29
120,2020,2,0,2,26.2
124,2020,2,0,2,30.5
132,2020,2,0,2,24.1
140,2020,2,0,2,26.9
148,2020,2,0,2,26.3
152,2020,2,0,2,27.3
156,2020,2,0,2,27.1
170,2020,2,0,2,26.2
174,2020,2,0,2,27.7
178,2020,2,0,2,26.1
180,2020,2,0,2,25.9
188,2020,2,0,2,26.1
191,2020,2,0,2,29
192,2020,2,0,2,26.2
196,2020,2,0,2,30
203,2020,2,0,2,31.6
204,2020,2,0,2,27.3
208,2020,2,0,2,32.2
214,2020,2,0,2,24.3
218,2020,2,0,2,25.9
222,2020,2,0,2,25.8
226,2020,2,0,2,25.6
233,2020,2,0,2,31.1
258,2020,2,0,2,26.6
266,2020,2,0,2,26.3
268,2020,2,0,2,27.5
270,2020,2,0,2,27.8
275,2020,2,0,2,27.4
288,2020,2,0,2,27.9
300,2020,2,0,2,31.4
320,2020,2,0,2,25.8
324,2020,2,0,2,26.7
328,2020,2,0,2,25.5
332,2020,2,0,2,28.6
340,2020,2,0,2,26.2
344,2020,2,0,2,31.8
348,2020,2,0,2,31.6
356,2020,2,0,2,25.2
364,2020,2,0,2,28.6
368,2020,2,0,2,27.2
372,2020,2,0,2,32
376,2020,2,0,2,30
380,2020,2,0,2,32.4
384,2020,2,0,2,26.8
388,2020,2,0,2,25.2
400,2020,2,0,2,28
404,2020,2,0,2,26.5
414,2020,2,0,2,29.5
417,2020,2,0,2,26.8
418,2020,2,0,2,28.4
422,2020,2,0,2,28.4
428,2020,2,0,2,30.9
430,2020,2,0,2,27.5
440,2020,2,0,2,30.6
442,2020,2,0,2,30.5
446,2020,2,0,2,30.2
458,2020,2,0,2,29.4
462,2020,2,0,2,28.2
466,2020,2,0,2,26.6
480,2020,2,0,2,27.2
496,2020,2,0,2,28.9
498,2020,2,0,2,27.9
499,2020,2,0,2,29.4
504,2020,2,0,2,32
508,2020,2,0,2,25.9
516,2020,2,0,2,27.9
524,2020,2,0,2,24.9
528,2020,2,0,2,31.5
530,2020,2,0,2,27.7
554,2020,2,0,2,29.8
558,2020,2,0,2,25.1
562,2020,2,0,2,26.5
586,2020,2,0,2,28.2
600,2020,2,0,2,26.7
604,2020,2,0,2,27.7
608,2020,2,0,2,27
616,2020,2,0,2,31.2
620,2020,2,0,2,31.2
624,2020,2,0,2,27.5
630,2020,2,0,2,26.4
642,2020,2,0,2,29.1
643,2020,2,0,2,29.1
646,2020,2,0,2,28.8
662,2020,2,0,2,26.9
670,2020,2,0,2,24.9
682,2020,2,0,2,29.5
686,2020,2,0,2,27.4
688,2020,2,0,2,28.4
694,2020,2,0,2,27.4
703,2020,2,0,2,32.1
705,2020,2,0,2,32.2
706,2020,2,0,2,27.9
710,2020,2,0,2,26.6
716,2020,2,0,2,26.4
724,2020,2,0,2,30.2
740,2020,2,0,2,27.2
748,2020,2,0,2,26.5
756,2020,2,0,2,33.5
760,2020,2,0,2,27.7
764,2020,2,0,2,27.3
776,2020,2,0,2,29.1
780,2020,2,0,2,27.4
784,2020,2,0,2,28.6
792,2020,2,0,2,28.4
795,2020,2,0,2,28.8
800,2020,2,0,2,25.9
804,2020,2,0,2,29
818,2020,2,0,2,27.9
826,2020,2,0,2,30.6
834,2020,2,0,2,26.1
840,2020,2,0,2,27.7
854,2020,2,0,2,27.4
858,2020,2,0,2,26.7
862,2020,2,0,2,25.2
882,2020,2,0,2,27.3
894,2020,2,0,2,26.1
4,2025,2,0,2,26.7
72,2025,2,0,2,27.9
144,2025,2,0,2,28.3
175,2025,2,0,2,26.8
90,2025,2,0,2,27.4
96,2025,2,0,2,28.9
583,2025,2,0,2,30.4
478,2025,2,0,2,28.5
316,2025,2,0,2,27
408,2025,2,0,2,28.8
308,2025,2,0,2,28.3
52,2025,2,0,2,29.7
232,2025,2,0,2,28.4
434,2025,2,0,2,32
24,2025,2,0,2,26
242,2025,2,0,2,27.9
598,2025,2,0,2,27.5
860,2025,2,0,2,29.1
262,2025,2,0,2,29.1
512,2025,2,0,2,29.2
887,2025,2,0,2,27.6
850,2025,2,0,2,31.2
768,2025,2,0,2,28
830,2025,2,0,2,31.2
40,2025,2,0,2,32.6
70,2025,2,0,2,29.7
76,2025,2,0,2,25.1
108,2025,2,0,2,28.8
116,2025,2,0,2,28.6
231,2025,2,0,2,28
246,2025,2,0,2,32.3
250,2025,2,0,2,31.1
254,2025,2,0,2,27.7
276,2025,2,0,2,32
312,2025,2,0,2,29.9
352,2025,2,0,2,32.3
360,2025,2,0,2,27.4
392,2025,2,0,2,30.4
398,2025,2,0,2,28.9
410,2025,2,0,2,33.6
426,2025,2,0,2,26.5
450,2025,2,0,2,26.3
454,2025,2,0,2,26.2
470,2025,2,0,2,30.1
474,2025,2,0,2,30.1
484,2025,2,0,2,26.4
533,2025,2,0,2,29.6
540,2025,2,0,2,30
548,2025,2,0,2,27.8
566,2025,2,0,2,27.5
578,2025,2,0,2,32.4
591,2025,2,0,2,25.7
626,2025,2,0,2,28.3
634,2025,2,0,2,29.2
638,2025,2,0,2,28.7
678,2025,2,0,2,26.7
702,2025,2,0,2,31.9
704,2025,2,0,2,27.8
736,2025,2,0,2,28.1
752,2025,2,0,2,32.3
762,2025,2,0,2,27.7
788,2025,2,0,2,32.7
807,2025,2,0,2,29.6
8,2025,2,0,2,29.5
12,2025,2,0,2,30.8
31,2025,2,0,2,26
32,2025,2,0,2,27.8
36,2025,2,0,2,30.3
44,2025,2,0,2,30.1
48,2025,2,0,2,29.3
50,2025,2,0,2,26.1
51,2025,2,0,2,27.3
56,2025,2,0,2,32.3
64,2025,2,0,2,27.7
68,2025,2,0,2,26.7
84,2025,2,0,2,26.5
100,2025,2,0,2,29.4
104,2025,2,0,2,31
112,2025,2,0,2,29.6
120,2025,2,0,2,26.3
124,2025,2,0,2,31
132,2025,2,0,2,25
140,2025,2,0,2,26.9
148,2025,2,0,2,26.3
152,2025,2,0,2,28
156,2025,2,0,2,27.8
170,2025,2,0,2,26.8
174,2025,2,0,2,27.6
178,2025,2,0,2,26.4
180,2025,2,0,2,26.2
188,2025,2,0,2,26.6
191,2025,2,0,2,29.5
192,2025,2,0,2,26.8
196,2025,2,0,2,30.6
203,2025,2,0,2,32.5
204,2025,2,0,2,27.2
208,2025,2,0,2,32.3
214,2025,2,0,2,24.7
218,2025,2,0,2,26.4
222,2025,2,0,2,26.3
226,2025,2,0,2,25.8
233,2025,2,0,2,31.7
258,2025,2,0,2,27.1
266,2025,2,0,2,26.7
268,2025,2,0,2,27.8
270,2025,2,0,2,27.8
275,2025,2,0,2,27.8
288,2025,2,0,2,27.8
300,2025,2,0,2,31.6
320,2025,2,0,2,26
324,2025,2,0,2,26.8
328,2025,2,0,2,26.8
332,2025,2,0,2,28.8
340,2025,2,0,2,26.6
344,2025,2,0,2,32.6
348,2025,2,0,2,32.6
356,2025,2,0,2,25.5
364,2025,2,0,2,28.4
368,2025,2,0,2,27.4
372,2025,2,0,2,32
376,2025,2,0,2,29.6
380,2025,2,0,2,32.6
384,2025,2,0,2,27
388,2025,2,0,2,25.8
400,2025,2,0,2,28.3
404,2025,2,0,2,26.5
