"isono","year","sexno","ageno","eduno","ryl15"
51,2090,0,0,0,79.7
51,2095,0,0,0,80.7
52,2010,0,0,0,68.3
52,2015,0,0,0,69.4
52,2020,0,0,0,70.4
52,2025,0,0,0,71.4
52,2030,0,0,0,72.3
52,2035,0,0,0,73.1
52,2040,0,0,0,73.9
52,2045,0,0,0,74.7
52,2050,0,0,0,75.6
52,2055,0,0,0,76.5
52,2060,0,0,0,77.3
52,2065,0,0,0,78.2
52,2070,0,0,0,79.1
52,2075,0,0,0,79.9
52,2080,0,0,0,80.8
52,2085,0,0,0,81.8
52,2090,0,0,0,82.7
52,2095,0,0,0,83.7
56,2010,0,0,0,70.9
56,2015,0,0,0,71.8
56,2020,0,0,0,72.8
56,2025,0,0,0,73.6
56,2030,0,0,0,74.4
56,2035,0,0,0,75.3
56,2040,0,0,0,76.1
56,2045,0,0,0,76.9
56,2050,0,0,0,77.8
56,2055,0,0,0,78.6
56,2060,0,0,0,79.4
56,2065,0,0,0,80.3
56,2070,0,0,0,81.3
56,2075,0,0,0,82.2
56,2080,0,0,0,83.1
56,2085,0,0,0,84
56,2090,0,0,0,84.9
56,2095,0,0,0,85.9
64,2010,0,0,0,64.5
64,2015,0,0,0,65.1
64,2020,0,0,0,65.9
64,2025,0,0,0,66.5
64,2030,0,0,0,67.4
64,2035,0,0,0,68.2
64,2040,0,0,0,69.2
64,2045,0,0,0,70
64,2050,0,0,0,71
64,2055,0,0,0,71.9
64,2060,0,0,0,72.7
64,2065,0,0,0,73.6
64,2070,0,0,0,74.4
64,2075,0,0,0,75.2
64,2080,0,0,0,76
64,2085,0,0,0,76.9
64,2090,0,0,0,77.7
64,2095,0,0,0,78.6
68,2010,0,0,0,63.9
68,2015,0,0,0,64.6
68,2020,0,0,0,65
68,2025,0,0,0,65.5
68,2030,0,0,0,66
68,2035,0,0,0,66.5
68,2040,0,0,0,67
68,2045,0,0,0,67.5
68,2050,0,0,0,68
68,2055,0,0,0,68.5
68,2060,0,0,0,69.1
68,2065,0,0,0,69.7
68,2070,0,0,0,70.3
68,2075,0,0,0,71
68,2080,0,0,0,71.7
68,2085,0,0,0,72.3
68,2090,0,0,0,73.1
68,2095,0,0,0,73.8
70,2010,0,0,0,67.1
70,2015,0,0,0,68.2
70,2020,0,0,0,69.1
70,2025,0,0,0,69.9
70,2030,0,0,0,70.8
70,2035,0,0,0,71.7
70,2040,0,0,0,72.5
70,2045,0,0,0,73.3
70,2050,0,0,0,74.1
70,2055,0,0,0,74.8
70,2060,0,0,0,75.7
70,2065,0,0,0,76.5
70,2070,0,0,0,77.2
70,2075,0,0,0,78
70,2080,0,0,0,78.9
70,2085,0,0,0,79.7
70,2090,0,0,0,80.7
70,2095,0,0,0,81.6
72,2010,0,0,0,62.7
72,2015,0,0,0,62.8
72,2020,0,0,0,62.9
72,2025,0,0,0,63.4
72,2030,0,0,0,63.3
72,2035,0,0,0,62.8
72,2040,0,0,0,63.3
72,2045,0,0,0,63.4
72,2050,0,0,0,64.1
72,2055,0,0,0,64.8
72,2060,0,0,0,65.5
72,2065,0,0,0,66.1
72,2070,0,0,0,66.5
72,2075,0,0,0,66.9
72,2080,0,0,0,67.4
72,2085,0,0,0,67.9
72,2090,0,0,0,68.3
72,2095,0,0,0,68.7
76,2010,0,0,0,69.6
76,2015,0,0,0,70.5
76,2020,0,0,0,71.5
76,2025,0,0,0,72.4
76,2030,0,0,0,73.3
76,2035,0,0,0,74.1
76,2040,0,0,0,74.9
76,2045,0,0,0,75.5
76,2050,0,0,0,76.2
76,2055,0,0,0,76.9
76,2060,0,0,0,77.5
76,2065,0,0,0,78.3
76,2070,0,0,0,78.9
76,2075,0,0,0,79.6
76,2080,0,0,0,80.3
76,2085,0,0,0,81.1
76,2090,0,0,0,81.8
76,2095,0,0,0,82.5
84,2010,0,0,0,69.2
84,2015,0,0,0,69.7
84,2020,0,0,0,70.3
84,2025,0,0,0,71
84,2030,0,0,0,71.6
84,2035,0,0,0,72
84,2040,0,0,0,72.5
84,2045,0,0,0,73
84,2050,0,0,0,73.7
84,2055,0,0,0,74.5
84,2060,0,0,0,75.3
84,2065,0,0,0,76.2
84,2070,0,0,0,77.1
84,2075,0,0,0,77.9
84,2080,0,0,0,78.7
84,2085,0,0,0,79.6
84,2090,0,0,0,80.5
84,2095,0,0,0,81.5
90,2010,0,0,0,62.3
90,2015,0,0,0,62.6
90,2020,0,0,0,62.5
90,2025,0,0,0,62.7
90,2030,0,0,0,63.2
90,2035,0,0,0,63.6
90,2040,0,0,0,63.8
90,2045,0,0,0,64.1
90,2050,0,0,0,64.5
90,2055,0,0,0,65.1
90,2060,0,0,0,65.6
90,2065,0,0,0,66.3
90,2070,0,0,0,67
90,2075,0,0,0,67.8
90,2080,0,0,0,68.5
90,2085,0,0,0,69.2
90,2090,0,0,0,70
90,2095,0,0,0,70.9
96,2010,0,0,0,71.6
96,2015,0,0,0,72.8
96,2020,0,0,0,73.9
96,2025,0,0,0,74.9
96,2030,0,0,0,75.8
96,2035,0,0,0,76.7
96,2040,0,0,0,77.6
96,2045,0,0,0,78.5
96,2050,0,0,0,79.3
96,2055,0,0,0,80.3
96,2060,0,0,0,81.3
96,2065,0,0,0,82.2
96,2070,0,0,0,83.1
96,2075,0,0,0,84
96,2080,0,0,0,84.8
96,2085,0,0,0,85.7
96,2090,0,0,0,86.7
96,2095,0,0,0,87.6
100,2010,0,0,0,65.3
100,2015,0,0,0,66.1
100,2020,0,0,0,67
100,2025,0,0,0,67.8
100,2030,0,0,0,68.6
100,2035,0,0,0,69.4
100,2040,0,0,0,70.4
100,2045,0,0,0,71.3
100,2050,0,0,0,72.2
100,2055,0,0,0,73
100,2060,0,0,0,73.9
100,2065,0,0,0,74.7
100,2070,0,0,0,75.6
100,2075,0,0,0,76.5
100,2080,0,0,0,77.6
100,2085,0,0,0,78.5
100,2090,0,0,0,79.5
