"isono","year","sexno","ageno","eduno","macb"
4,2010,2,0,2,28
72,2010,2,0,2,31.6
144,2010,2,0,2,30.1
175,2010,2,0,2,29.5
90,2010,2,0,2,29
96,2010,2,0,2,31.2
583,2010,2,0,2,29.9
478,2010,2,0,2,29.7
316,2010,2,0,2,27.9
408,2010,2,0,2,29.8
308,2010,2,0,2,29.6
52,2010,2,0,2,32.1
232,2010,2,0,2,30.1
434,2010,2,0,2,33.1
24,2010,2,0,2,26.8
242,2010,2,0,2,28.4
598,2010,2,0,2,29.2
860,2010,2,0,2,28.1
262,2010,2,0,2,30.8
512,2010,2,0,2,32.5
887,2010,2,0,2,30.5
850,2010,2,0,2,31.6
768,2010,2,0,2,28.5
830,2010,2,0,2,31.3
4,2015,2,0,2,28.8
72,2015,2,0,2,31.9
144,2015,2,0,2,30.8
175,2015,2,0,2,30.1
90,2015,2,0,2,30.1
96,2015,2,0,2,31.7
583,2015,2,0,2,30.9
478,2015,2,0,2,30.1
316,2015,2,0,2,28.4
408,2015,2,0,2,29.5
308,2015,2,0,2,30.1
52,2015,2,0,2,32.5
232,2015,2,0,2,30.7
434,2015,2,0,2,33.6
24,2015,2,0,2,27.3
242,2015,2,0,2,29.9
598,2015,2,0,2,30.2
860,2015,2,0,2,29.1
262,2015,2,0,2,30.8
512,2015,2,0,2,33.3
887,2015,2,0,2,31.3
850,2015,2,0,2,31.6
768,2015,2,0,2,29
830,2015,2,0,2,31.2
4,2020,2,0,2,30.5
72,2020,2,0,2,34.4
144,2020,2,0,2,32.2
175,2020,2,0,2,30.7
90,2020,2,0,2,32.7
96,2020,2,0,2,33
583,2020,2,0,2,32.6
478,2020,2,0,2,31
316,2020,2,0,2,30.2
408,2020,2,0,2,29.2
308,2020,2,0,2,31.6
52,2020,2,0,2,34.3
232,2020,2,0,2,31.5
434,2020,2,0,2,34.3
24,2020,2,0,2,28.4
242,2020,2,0,2,33.1
598,2020,2,0,2,32.9
860,2020,2,0,2,31
262,2020,2,0,2,31.5
512,2020,2,0,2,35.7
887,2020,2,0,2,34.1
850,2020,2,0,2,32.8
768,2020,2,0,2,29.8
830,2020,2,0,2,31.9
4,2025,2,0,2,31
72,2025,2,0,2,34.8
144,2025,2,0,2,32
175,2025,2,0,2,30.8
90,2025,2,0,2,34.6
96,2025,2,0,2,33.3
583,2025,2,0,2,33.2
478,2025,2,0,2,31.5
316,2025,2,0,2,31.3
408,2025,2,0,2,28.6
308,2025,2,0,2,32.3
52,2025,2,0,2,35.8
232,2025,2,0,2,31.6
434,2025,2,0,2,34
24,2025,2,0,2,29.1
242,2025,2,0,2,35.4
598,2025,2,0,2,34.9
860,2025,2,0,2,31.7
262,2025,2,0,2,31.7
512,2025,2,0,2,36.3
887,2025,2,0,2,35.2
850,2025,2,0,2,33.7
768,2025,2,0,2,30.3
830,2025,2,0,2,31.6
4,2030,2,0,2,31.3
72,2030,2,0,2,32.7
144,2030,2,0,2,31.7
175,2030,2,0,2,31.5
90,2030,2,0,2,36.1
96,2030,2,0,2,32.6
583,2030,2,0,2,33.7
478,2030,2,0,2,32
316,2030,2,0,2,31.9
408,2030,2,0,2,28.2
308,2030,2,0,2,32.2
52,2030,2,0,2,36.8
232,2030,2,0,2,31.8
434,2030,2,0,2,33.6
24,2030,2,0,2,29.7
242,2030,2,0,2,36.9
598,2030,2,0,2,36.4
860,2030,2,0,2,31.9
262,2030,2,0,2,31.8
512,2030,2,0,2,35.1
887,2030,2,0,2,34.8
850,2030,2,0,2,34.2
768,2030,2,0,2,30.7
830,2030,2,0,2,31.5
4,2035,2,0,2,31.5
72,2035,2,0,2,29
144,2035,2,0,2,31.7
175,2035,2,0,2,32.8
90,2035,2,0,2,36.8
96,2035,2,0,2,31.1
583,2035,2,0,2,34
478,2035,2,0,2,32.4
316,2035,2,0,2,31.8
408,2035,2,0,2,28.3
308,2035,2,0,2,31.8
52,2035,2,0,2,37.2
232,2035,2,0,2,32.3
434,2035,2,0,2,33.9
24,2035,2,0,2,30.1
242,2035,2,0,2,37.5
598,2035,2,0,2,37.1
860,2035,2,0,2,31.9
262,2035,2,0,2,32.1
512,2035,2,0,2,32.4
887,2035,2,0,2,32.6
850,2035,2,0,2,34.2
768,2035,2,0,2,31.1
830,2035,2,0,2,31.5
4,2040,2,0,2,31.5
72,2040,2,0,2,26.9
144,2040,2,0,2,31.8
175,2040,2,0,2,34.3
90,2040,2,0,2,36.2
96,2040,2,0,2,29.6
583,2040,2,0,2,33.8
478,2040,2,0,2,32.7
316,2040,2,0,2,30.4
408,2040,2,0,2,28.6
308,2040,2,0,2,30.9
