"isono","year","sexno","ageno","eduno","ggapmys25"
40,2095,0,0,0,-0.21
40,2100,0,0,0,-0.21
44,1970,0,0,0,0.42
44,1975,0,0,0,0.34
44,1980,0,0,0,0.2
44,1985,0,0,0,0.1
44,1990,0,0,0,0.05
44,1995,0,0,0,-0.08
44,2000,0,0,0,-0.21
44,2005,0,0,0,-0.28
44,2010,0,0,0,-0.34
44,2015,0,0,0,-0.37
44,2020,0,0,0,-0.42
44,2025,0,0,0,-0.45
44,2030,0,0,0,-0.49
44,2035,0,0,0,-0.53
44,2040,0,0,0,-0.55
44,2045,0,0,0,-0.58
44,2050,0,0,0,-0.59
44,2055,0,0,0,-0.6
44,2060,0,0,0,-0.6
44,2065,0,0,0,-0.6
44,2070,0,0,0,-0.6
44,2075,0,0,0,-0.6
44,2080,0,0,0,-0.6
44,2085,0,0,0,-0.6
44,2090,0,0,0,-0.6
44,2095,0,0,0,-0.6
44,2100,0,0,0,-0.6
48,1970,0,0,0,2.31
48,1975,0,0,0,2.75
48,1980,0,0,0,2.81
48,1985,0,0,0,1.95
48,1990,0,0,0,1.36
48,1995,0,0,0,0.91
48,2000,0,0,0,0.37
48,2005,0,0,0,-0.09
48,2010,0,0,0,-0.36
48,2015,0,0,0,-0.56
48,2020,0,0,0,-0.72
48,2025,0,0,0,-0.83
48,2030,0,0,0,-0.91
48,2035,0,0,0,-0.97
48,2040,0,0,0,-1.01
48,2045,0,0,0,-1.03
48,2050,0,0,0,-1.04
48,2055,0,0,0,-1.04
48,2060,0,0,0,-1.04
48,2065,0,0,0,-1.04
48,2070,0,0,0,-1.04
48,2075,0,0,0,-1.04
48,2080,0,0,0,-1.05
48,2085,0,0,0,-1.05
48,2090,0,0,0,-1.05
48,2095,0,0,0,-1.05
48,2100,0,0,0,-1.04
50,1970,0,0,0,1.7
50,1975,0,0,0,1.8
50,1980,0,0,0,1.95
50,1985,0,0,0,2.05
50,1990,0,0,0,2.05
50,1995,0,0,0,2.01
50,2000,0,0,0,1.94
50,2005,0,0,0,1.82
50,2010,0,0,0,1.37
50,2015,0,0,0,1.12
50,2020,0,0,0,0.89
50,2025,0,0,0,0.73
50,2030,0,0,0,0.58
50,2035,0,0,0,0.47
50,2040,0,0,0,0.37
50,2045,0,0,0,0.28
50,2050,0,0,0,0.2
50,2055,0,0,0,0.14
50,2060,0,0,0,0.09
50,2065,0,0,0,0.06
50,2070,0,0,0,0.04
50,2075,0,0,0,0.04
50,2080,0,0,0,0.04
50,2085,0,0,0,0.03
50,2090,0,0,0,0.03
50,2095,0,0,0,0.03
50,2100,0,0,0,0.03
51,1970,0,0,0,1.46
51,1975,0,0,0,1.29
51,1980,0,0,0,1.03
51,1985,0,0,0,0.66
51,1990,0,0,0,0.55
51,1995,0,0,0,0.42
51,2000,0,0,0,0.28
51,2005,0,0,0,0.18
51,2010,0,0,0,0.09
51,2015,0,0,0,0.02
51,2020,0,0,0,-0.05
51,2025,0,0,0,-0.1
51,2030,0,0,0,-0.15
51,2035,0,0,0,-0.18
51,2040,0,0,0,-0.2
51,2045,0,0,0,-0.22
51,2050,0,0,0,-0.23
51,2055,0,0,0,-0.24
51,2060,0,0,0,-0.25
51,2065,0,0,0,-0.25
51,2070,0,0,0,-0.25
51,2075,0,0,0,-0.25
51,2080,0,0,0,-0.25
51,2085,0,0,0,-0.25
51,2090,0,0,0,-0.25
51,2095,0,0,0,-0.25
51,2100,0,0,0,-0.25
52,1970,0,0,0,0
52,1975,0,0,0,0
52,1980,0,0,0,0
52,1985,0,0,0,0
52,1990,0,0,0,0
52,1995,0,0,0,0
52,2000,0,0,0,0
52,2005,0,0,0,0
52,2010,0,0,0,0
52,2015,0,0,0,0
52,2020,0,0,0,0
52,2025,0,0,0,0
52,2030,0,0,0,0
52,2035,0,0,0,0
52,2040,0,0,0,0
52,2045,0,0,0,0
52,2050,0,0,0,0
52,2055,0,0,0,0
52,2060,0,0,0,0
52,2065,0,0,0,0
52,2070,0,0,0,0
52,2075,0,0,0,0
52,2080,0,0,0,0
52,2085,0,0,0,0
52,2090,0,0,0,0
52,2095,0,0,0,0
52,2100,0,0,0,0
56,1970,0,0,0,0.69
56,1975,0,0,0,0.7
56,1980,0,0,0,0.7
56,1985,0,0,0,0.6
56,1990,0,0,0,0.6
56,1995,0,0,0,0.51
56,2000,0,0,0,0.42
56,2005,0,0,0,0.31
56,2010,0,0,0,0.2
56,2015,0,0,0,0.09
56,2020,0,0,0,-0.02
56,2025,0,0,0,-0.13
56,2030,0,0,0,-0.24
56,2035,0,0,0,-0.33
56,2040,0,0,0,-0.41
56,2045,0,0,0,-0.48
56,2050,0,0,0,-0.54
56,2055,0,0,0,-0.6
56,2060,0,0,0,-0.64
56,2065,0,0,0,-0.67
56,2070,0,0,0,-0.68
56,2075,0,0,0,-0.69
56,2080,0,0,0,-0.69
56,2085,0,0,0,-0.69
56,2090,0,0,0,-0.68
56,2095,0,0,0,-0.68
56,2100,0,0,0,-0.68
64,1970,0,0,0,0.39
64,1975,0,0,0,0.62
64,1980,0,0,0,0.9
64,1985,0,0,0,1.16
64,1990,0,0,0,1.42
64,1995,0,0,0,1.67
64,2000,0,0,0,1.9
64,2005,0,0,0,2.11
64,2010,0,0,0,2.02
64,2015,0,0,0,1.85
64,2020,0,0,0,1.72
64,2025,0,0,0,1.65
64,2030,0,0,0,1.59
64,2035,0,0,0,1.54
64,2040,0,0,0,1.5
64,2045,0,0,0,1.45
64,2050,0,0,0,1.41
64,2055,0,0,0,1.37
64,2060,0,0,0,1.34
64,2065,0,0,0,1.31
64,2070,0,0,0,1.28
64,2075,0,0,0,1.26
64,2080,0,0,0,1.24
64,2085,0,0,0,1.23
64,2090,0,0,0,1.23
64,2095,0,0,0,1.23
64,2100,0,0,0,1.23
68,1970,0,0,0,1.6
68,1975,0,0,0,1.74
68,1980,0,0,0,1.83
68,1985,0,0,0,1.9
68,1990,0,0,0,1.9
68,1995,0,0,0,1.83
68,2000,0,0,0,1.75
68,2005,0,0,0,1.98
68,2010,0,0,0,1.96
68,2015,0,0,0,1.58
68,2020,0,0,0,1.41
68,2025,0,0,0,1.25
68,2030,0,0,0,1.12
68,2035,0,0,0,1.01
68,2040,0,0,0,0.92
68,2045,0,0,0,0.84
68,2050,0,0,0,0.78
68,2055,0,0,0,0.72
68,2060,0,0,0,0.68
68,2065,0,0,0,0.66
68,2070,0,0,0,0.64
68,2075,0,0,0,0.64
68,2080,0,0,0,0.64
68,2085,0,0,0,0.64
68,2090,0,0,0,0.64
68,2095,0,0,0,0.64
68,2100,0,0,0,0.64
70,1970,0,0,0,3.17
70,1975,0,0,0,3.46
70,1980,0,0,0,3.6
70,1985,0,0,0,3.59
70,1990,0,0,0,3.41
70,1995,0,0,0,3.07
70,2000,0,0,0,2.75
70,2005,0,0,0,2.52
70,2010,0,0,0,2.23
70,2015,0,0,0,1.88
70,2020,0,0,0,1.59
70,2025,0,0,0,1.3
70,2030,0,0,0,1.04
70,2035,0,0,0,0.8
70,2040,0,0,0,0.58
70,2045,0,0,0,0.38
70,2050,0,0,0,0.22
70,2055,0,0,0,0.08
70,2060,0,0,0,-0.03
70,2065,0,0,0,-0.12
70,2070,0,0,0,-0.19
70,2075,0,0,0,-0.25
70,2080,0,0,0,-0.28
70,2085,0,0,0,-0.3
70,2090,0,0,0,-0.31
70,2095,0,0,0,-0.31
70,2100,0,0,0,-0.32
72,1970,0,0,0,0
72,1975,0,0,0,0
72,1980,0,0,0,0
72,1985,0,0,0,0
72,1990,0,0,0,0
72,1995,0,0,0,0
72,2000,0,0,0,0
72,2005,0,0,0,0
72,2010,0,0,0,0
72,2015,0,0,0,0
72,2020,0,0,0,0
72,2025,0,0,0,0
72,2030,0,0,0,0
72,2035,0,0,0,0
72,2040,0,0,0,0
72,2045,0,0,0,0
72,2050,0,0,0,0
72,2055,0,0,0,0
72,2060,0,0,0,0
72,2065,0,0,0,0
72,2070,0,0,0,0
72,2075,0,0,0,0
72,2080,0,0,0,0
72,2085,0,0,0,0
72,2090,0,0,0,0
72,2095,0,0,0,0
72,2100,0,0,0,0
76,1970,0,0,0,0.1
