"isono","year","sexno","ageno","eduno","macb"
4,2010,2,0,2,28.5
72,2010,2,0,2,32.6
144,2010,2,0,2,30.5
175,2010,2,0,2,29.9
90,2010,2,0,2,29.8
96,2010,2,0,2,31.7
583,2010,2,0,2,30.4
478,2010,2,0,2,30.2
316,2010,2,0,2,28.6
408,2010,2,0,2,29.9
308,2010,2,0,2,30
52,2010,2,0,2,32.7
232,2010,2,0,2,30.5
434,2010,2,0,2,33.4
24,2010,2,0,2,27.2
242,2010,2,0,2,29
598,2010,2,0,2,30.1
860,2010,2,0,2,28.3
262,2010,2,0,2,31.3
512,2010,2,0,2,33.2
887,2010,2,0,2,31.4
850,2010,2,0,2,32.1
768,2010,2,0,2,28.9
830,2010,2,0,2,31.6
40,2010,2,0,2,31.1
70,2010,2,0,2,30.3
76,2010,2,0,2,28.4
108,2010,2,0,2,30.4
116,2010,2,0,2,28.8
231,2010,2,0,2,29.2
246,2010,2,0,2,31.5
250,2010,2,0,2,31.6
254,2010,2,0,2,27.3
276,2010,2,0,2,31.9
312,2010,2,0,2,32.2
352,2010,2,0,2,31.3
360,2010,2,0,2,30.9
392,2010,2,0,2,31.2
398,2010,2,0,2,27.9
410,2010,2,0,2,35
426,2010,2,0,2,28.4
450,2010,2,0,2,27
454,2010,2,0,2,28.5
470,2010,2,0,2,29.8
474,2010,2,0,2,31.6
484,2010,2,0,2,29.6
533,2010,2,0,2,31.5
540,2010,2,0,2,33.2
548,2010,2,0,2,30
566,2010,2,0,2,29.3
578,2010,2,0,2,23.1
591,2010,2,0,2,28.3
626,2010,2,0,2,31.3
634,2010,2,0,2,32.3
638,2010,2,0,2,31.3
678,2010,2,0,2,27.5
702,2010,2,0,2,34.9
704,2010,2,0,2,28.4
736,2010,2,0,2,29
752,2010,2,0,2,17.9
762,2010,2,0,2,28.1
788,2010,2,0,2,33.8
807,2010,2,0,2,30
8,2010,2,0,2,26.3
12,2010,2,0,2,33.4
31,2010,2,0,2,31
32,2010,2,0,2,31.1
36,2010,2,0,2,33.4
44,2010,2,0,2,36.5
48,2010,2,0,2,36.8
50,2010,2,0,2,29
51,2010,2,0,2,24.8
56,2010,2,0,2,34.4
64,2010,2,0,2,28.8
68,2010,2,0,2,30.3
84,2010,2,0,2,26.9
100,2010,2,0,2,28
104,2010,2,0,2,32.7
112,2010,2,0,2,25.8
120,2010,2,0,2,28.7
124,2010,2,0,2,32.9
132,2010,2,0,2,26.7
140,2010,2,0,2,29.6
