"isono","year","sexno","ageno","eduno","mage"
4,2010,0,0,0,16.5
4,2015,0,0,0,17
4,2020,0,0,0,17.6
4,2025,0,0,0,18
4,2030,0,0,0,18.6
4,2035,0,0,0,19.5
4,2040,0,0,0,20.5
4,2045,0,0,0,21.8
4,2050,0,0,0,23.1
4,2055,0,0,0,24.6
4,2060,0,0,0,26.2
4,2065,0,0,0,27.8
4,2070,0,0,0,29.4
4,2075,0,0,0,31
4,2080,0,0,0,32.6
4,2085,0,0,0,34.2
4,2090,0,0,0,35.7
4,2095,0,0,0,37.2
8,2010,0,0,0,30
8,2015,0,0,0,32.5
8,2020,0,0,0,35.1
8,2025,0,0,0,37.8
8,2030,0,0,0,40.5
8,2035,0,0,0,43
8,2040,0,0,0,45.4
8,2045,0,0,0,47.7
8,2050,0,0,0,49.9
8,2055,0,0,0,51.8
8,2060,0,0,0,53.3
8,2065,0,0,0,54.6
8,2070,0,0,0,55.6
8,2075,0,0,0,56.6
8,2080,0,0,0,57.5
8,2085,0,0,0,58.2
8,2090,0,0,0,58.8
8,2095,0,0,0,59.3
12,2010,0,0,0,26.1
12,2015,0,0,0,28.3
12,2020,0,0,0,30.4
12,2025,0,0,0,32.6
12,2030,0,0,0,34.6
12,2035,0,0,0,36.1
12,2040,0,0,0,37.5
12,2045,0,0,0,38.9
12,2050,0,0,0,40.5
12,2055,0,0,0,42
12,2060,0,0,0,43.6
12,2065,0,0,0,45
12,2070,0,0,0,46.2
12,2075,0,0,0,47.1
12,2080,0,0,0,47.8
12,2085,0,0,0,48.7
12,2090,0,0,0,49.7
12,2095,0,0,0,50.9
24,2010,0,0,0,16.5
24,2015,0,0,0,17.2
24,2020,0,0,0,18.2
24,2025,0,0,0,19.3
24,2030,0,0,0,20.4
24,2035,0,0,0,21.7
24,2040,0,0,0,23.2
24,2045,0,0,0,24.7
24,2050,0,0,0,26.3
24,2055,0,0,0,27.9
24,2060,0,0,0,29.4
24,2065,0,0,0,31
24,2070,0,0,0,32.5
24,2075,0,0,0,34
24,2080,0,0,0,35.4
24,2085,0,0,0,36.7
24,2090,0,0,0,38
24,2095,0,0,0,39.2
31,2010,0,0,0,29.5
31,2015,0,0,0,30.5
31,2020,0,0,0,32.5
31,2025,0,0,0,35
31,2030,0,0,0,37.5
31,2035,0,0,0,39.3
31,2040,0,0,0,39.2
31,2045,0,0,0,39.2
31,2050,0,0,0,40.6
31,2055,0,0,0,42.6
31,2060,0,0,0,44.8
31,2065,0,0,0,46.5
31,2070,0,0,0,47.6
31,2075,0,0,0,48.1
31,2080,0,0,0,48.2
31,2085,0,0,0,48.9
31,2090,0,0,0,50
31,2095,0,0,0,51.1
32,2010,0,0,0,30.4
32,2015,0,0,0,31.7
32,2020,0,0,0,32.9
32,2025,0,0,0,34.4
32,2030,0,0,0,35.8
32,2035,0,0,0,37.2
32,2040,0,0,0,38.5
32,2045,0,0,0,39.8
32,2050,0,0,0,41.1
32,2055,0,0,0,42.5
32,2060,0,0,0,43.9
32,2065,0,0,0,45.2
32,2070,0,0,0,46.5
32,2075,0,0,0,47.7
32,2080,0,0,0,48.9
32,2085,0,0,0,50.1
32,2090,0,0,0,51.3
32,2095,0,0,0,52.5
36,2010,0,0,0,37
36,2015,0,0,0,37.5
36,2020,0,0,0,38.1
36,2025,0,0,0,39.1
36,2030,0,0,0,40.4
36,2035,0,0,0,41.5
36,2040,0,0,0,42.4
36,2045,0,0,0,43.1
36,2050,0,0,0,43.6
36,2055,0,0,0,44.4
36,2060,0,0,0,45.1
36,2065,0,0,0,46
36,2070,0,0,0,47.1
36,2075,0,0,0,48.2
36,2080,0,0,0,49.3
36,2085,0,0,0,50.3
36,2090,0,0,0,51.3
36,2095,0,0,0,52.4
40,2010,0,0,0,41.8
40,2015,0,0,0,43.6
40,2020,0,0,0,44.9
40,2025,0,0,0,45.9
40,2030,0,0,0,47.1
40,2035,0,0,0,48.4
40,2040,0,0,0,49.7
40,2045,0,0,0,50.9
40,2050,0,0,0,51.6
40,2055,0,0,0,52
40,2060,0,0,0,52.2
40,2065,0,0,0,52.5
40,2070,0,0,0,53
40,2075,0,0,0,53.7
40,2080,0,0,0,54.4
40,2085,0,0,0,55.2
40,2090,0,0,0,55.9
40,2095,0,0,0,56.6
44,2010,0,0,0,30.8
44,2015,0,0,0,32.6
44,2020,0,0,0,34.5
44,2025,0,0,0,36.3
44,2030,0,0,0,38.1
44,2035,0,0,0,40
44,2040,0,0,0,41.6
44,2045,0,0,0,42.6
44,2050,0,0,0,43.4
44,2055,0,0,0,44.3
44,2060,0,0,0,45.2
44,2065,0,0,0,46.1
44,2070,0,0,0,47.1
44,2075,0,0,0,48.2
44,2080,0,0,0,49.2
44,2085,0,0,0,50.1
44,2090,0,0,0,51
44,2095,0,0,0,52
48,2010,0,0,0,30.1
48,2015,0,0,0,32.5
48,2020,0,0,0,35.2
48,2025,0,0,0,37.6
48,2030,0,0,0,39.1
48,2035,0,0,0,39.7
48,2040,0,0,0,40.7
48,2045,0,0,0,41.4
48,2050,0,0,0,42.1
48,2055,0,0,0,43.3
48,2060,0,0,0,44.6
48,2065,0,0,0,45.7
48,2070,0,0,0,46.8
48,2075,0,0,0,47.9
