"isono","year","sexno","ageno","eduno","e0"
4,2010,1,0,0,49.1
4,2015,1,0,0,49.4
4,2020,1,0,0,50.5
4,2025,1,0,0,51.7
4,2030,1,0,0,53
4,2035,1,0,0,54.3
4,2040,1,0,0,55.1
4,2045,1,0,0,56
4,2050,1,0,0,57
4,2055,1,0,0,57.5
4,2060,1,0,0,58.2
4,2065,1,0,0,58.4
4,2070,1,0,0,58.9
4,2075,1,0,0,59.2
4,2080,1,0,0,59.4
4,2085,1,0,0,59.5
4,2090,1,0,0,59.9
4,2095,1,0,0,60.1
4,2010,2,0,0,49.6
4,2015,2,0,0,49.9
4,2020,2,0,0,51
4,2025,2,0,0,52.2
4,2030,2,0,0,53.6
4,2035,2,0,0,54.8
4,2040,2,0,0,56.1
4,2045,2,0,0,57.1
4,2050,2,0,0,58.2
4,2055,2,0,0,59.4
4,2060,2,0,0,60.1
4,2065,2,0,0,61
4,2070,2,0,0,61.4
4,2075,2,0,0,62.1
4,2080,2,0,0,62.6
4,2085,2,0,0,62.9
4,2090,2,0,0,63.3
4,2095,2,0,0,63.6
4,2010,0,0,0,49.3
4,2015,0,0,0,49.6
4,2020,0,0,0,50.8
4,2025,0,0,0,51.9
4,2030,0,0,0,53.3
4,2035,0,0,0,54.5
4,2040,0,0,0,55.6
4,2045,0,0,0,56.5
4,2050,0,0,0,57.6
4,2055,0,0,0,58.4
4,2060,0,0,0,59.1
4,2065,0,0,0,59.6
4,2070,0,0,0,60.1
4,2075,0,0,0,60.6
4,2080,0,0,0,60.9
4,2085,0,0,0,61.1
4,2090,0,0,0,61.5
4,2095,0,0,0,61.8
8,2010,1,0,0,74.1
8,2015,1,0,0,74.2
8,2020,1,0,0,74.9
8,2025,1,0,0,75.4
8,2030,1,0,0,76.1
8,2035,1,0,0,76.6
8,2040,1,0,0,77.1
8,2045,1,0,0,77.7
8,2050,1,0,0,78.2
8,2055,1,0,0,78.7
8,2060,1,0,0,79.2
8,2065,1,0,0,79.6
8,2070,1,0,0,80.1
8,2075,1,0,0,80.6
8,2080,1,0,0,81.1
8,2085,1,0,0,81.5
8,2090,1,0,0,82.1
8,2095,1,0,0,82.5
8,2010,2,0,0,80.5
8,2015,2,0,0,80.6
8,2020,2,0,0,81.1
8,2025,2,0,0,81.5
8,2030,2,0,0,82
8,2035,2,0,0,82.4
8,2040,2,0,0,82.9
8,2045,2,0,0,83.3
8,2050,2,0,0,83.8
8,2055,2,0,0,84.3
8,2060,2,0,0,84.7
8,2065,2,0,0,85.2
8,2070,2,0,0,85.6
8,2075,2,0,0,86.1
8,2080,2,0,0,86.6
8,2085,2,0,0,87.1
8,2090,2,0,0,87.6
8,2095,2,0,0,88.1
8,2010,0,0,0,77.1
8,2015,0,0,0,77.3
8,2020,0,0,0,77.9
8,2025,0,0,0,78.4
8,2030,0,0,0,79
8,2035,0,0,0,79.5
8,2040,0,0,0,80.1
8,2045,0,0,0,80.6
8,2050,0,0,0,81.1
8,2055,0,0,0,81.5
8,2060,0,0,0,82
8,2065,0,0,0,82.4
8,2070,0,0,0,82.8
8,2075,0,0,0,83.3
8,2080,0,0,0,83.8
8,2085,0,0,0,84.2
8,2090,0,0,0,84.8
8,2095,0,0,0,85.3
12,2010,1,0,0,71.8
12,2015,1,0,0,72.1
12,2020,1,0,0,72.4
12,2025,1,0,0,73
12,2030,1,0,0,73.2
12,2035,1,0,0,73.5
12,2040,1,0,0,73.9
12,2045,1,0,0,74.1
12,2050,1,0,0,74.6
12,2055,1,0,0,75
12,2060,1,0,0,75.3
12,2065,1,0,0,75.7
12,2070,1,0,0,76.1
12,2075,1,0,0,76.6
12,2080,1,0,0,77
12,2085,1,0,0,77.5
12,2090,1,0,0,77.9
12,2095,1,0,0,78.3
12,2010,2,0,0,74.9
12,2015,2,0,0,75.4
12,2020,2,0,0,76
12,2025,2,0,0,76.6
12,2030,2,0,0,77.1
12,2035,2,0,0,77.4
12,2040,2,0,0,77.8
12,2045,2,0,0,78.2
12,2050,2,0,0,78.6
12,2055,2,0,0,79
12,2060,2,0,0,79.3
12,2065,2,0,0,79.7
12,2070,2,0,0,80.1
12,2075,2,0,0,80.5
12,2080,2,0,0,81
12,2085,2,0,0,81.5
12,2090,2,0,0,81.9
12,2095,2,0,0,82.4
12,2010,0,0,0,73.4
12,2015,0,0,0,73.7
12,2020,0,0,0,74.2
12,2025,0,0,0,74.8
12,2030,0,0,0,75.1
12,2035,0,0,0,75.4
12,2040,0,0,0,75.8
12,2045,0,0,0,76.2
12,2050,0,0,0,76.6
12,2055,0,0,0,76.9
12,2060,0,0,0,77.3
12,2065,0,0,0,77.7
12,2070,0,0,0,78.1
12,2075,0,0,0,78.5
12,2080,0,0,0,79
12,2085,0,0,0,79.4
12,2090,0,0,0,79.9
12,2095,0,0,0,80.3
24,2010,1,0,0,50
24,2015,1,0,0,48.2
24,2020,1,0,0,48.2
24,2025,1,0,0,48.6
24,2030,1,0,0,49.1
24,2035,1,0,0,49.1
24,2040,1,0,0,49.5
24,2045,1,0,0,49.7
24,2050,1,0,0,49.9
24,2055,1,0,0,50.6
24,2060,1,0,0,50.9
24,2065,1,0,0,51.8
24,2070,1,0,0,52.2
24,2075,1,0,0,53.2
24,2080,1,0,0,53.7
24,2085,1,0,0,54.8
24,2090,1,0,0,55.3
24,2095,1,0,0,56.4
24,2010,2,0,0,52.6
24,2015,2,0,0,50.9
24,2020,2,0,0,51
24,2025,2,0,0,51.6
24,2030,2,0,0,52
24,2035,2,0,0,52.7
24,2040,2,0,0,53.1
24,2045,2,0,0,53.2
24,2050,2,0,0,54.1
24,2055,2,0,0,54.4
24,2060,2,0,0,55.5
24,2065,2,0,0,55.9
24,2070,2,0,0,56.9
24,2075,2,0,0,57.3
24,2080,2,0,0,58.4
24,2085,2,0,0,59.2
24,2090,2,0,0,59.7
24,2095,2,0,0,60.9
24,2010,0,0,0,51.3
24,2015,0,0,0,49.6
24,2020,0,0,0,49.6
24,2025,0,0,0,50.1
24,2030,0,0,0,50.5
24,2035,0,0,0,50.9
24,2040,0,0,0,51.3
24,2045,0,0,0,51.4
24,2050,0,0,0,51.9
24,2055,0,0,0,52.5
24,2060,0,0,0,53.1
24,2065,0,0,0,53.8
24,2070,0,0,0,54.5
24,2075,0,0,0,55.3
24,2080,0,0,0,56
24,2085,0,0,0,57
24,2090,0,0,0,57.5
24,2095,0,0,0,58.6
31,2010,1,0,0,67.4
31,2015,1,0,0,68.1
31,2020,1,0,0,68.5
31,2025,1,0,0,69
31,2030,1,0,0,69.1
31,2035,1,0,0,69.7
31,2040,1,0,0,70.2
31,2045,1,0,0,70.9
31,2050,1,0,0,71.5
31,2055,1,0,0,71.9
31,2060,1,0,0,72.5
31,2065,1,0,0,72.9
31,2070,1,0,0,73.5
31,2075,1,0,0,74.2
31,2080,1,0,0,74.6
31,2085,1,0,0,75.1
31,2090,1,0,0,75.6
31,2095,1,0,0,76.1
31,2010,2,0,0,73.2
31,2015,2,0,0,73.6
31,2020,2,0,0,74
31,2025,2,0,0,74.4
31,2030,2,0,0,74.5
31,2035,2,0,0,74.9
31,2040,2,0,0,75.4
31,2045,2,0,0,76.1
31,2050,2,0,0,76.5
31,2055,2,0,0,76.9
31,2060,2,0,0,77.4
31,2065,2,0,0,77.9
31,2070,2,0,0,78.4
31,2075,2,0,0,78.9
31,2080,2,0,0,79.5
31,2085,2,0,0,79.9
31,2090,2,0,0,80.4
31,2095,2,0,0,80.8
31,2010,0,0,0,70.3
31,2015,0,0,0,70.9
31,2020,0,0,0,71.3
31,2025,0,0,0,71.8
31,2030,0,0,0,71.8
31,2035,0,0,0,72.4
31,2040,0,0,0,72.9
31,2045,0,0,0,73.5
31,2050,0,0,0,74
31,2055,0,0,0,74.4
31,2060,0,0,0,74.9
31,2065,0,0,0,75.3
31,2070,0,0,0,75.9
31,2075,0,0,0,76.4
31,2080,0,0,0,76.9
31,2085,0,0,0,77.4
31,2090,0,0,0,77.9
31,2095,0,0,0,78.4
32,2010,1,0,0,72.2
32,2015,1,0,0,72.4
32,2020,1,0,0,72.7
32,2025,1,0,0,73.1
32,2030,1,0,0,73.5
32,2035,1,0,0,73.9
32,2040,1,0,0,74.2
32,2045,1,0,0,74.6
32,2050,1,0,0,75.2
32,2055,1,0,0,75.8
32,2060,1,0,0,76.3
32,2065,1,0,0,76.9
32,2070,1,0,0,77.4
32,2075,1,0,0,78
32,2080,1,0,0,78.6
32,2085,1,0,0,79.2
32,2090,1,0,0,79.8
