"isono","year","sexno","ageno","eduno","e0"
4,2010,1,0,0,50.5
4,2015,1,0,0,52.3
4,2020,1,0,0,54.9
4,2025,1,0,0,57.4
4,2030,1,0,0,59.8
4,2035,1,0,0,62.1
4,2040,1,0,0,64.5
4,2045,1,0,0,66.6
4,2050,1,0,0,68.8
4,2055,1,0,0,70.7
4,2060,1,0,0,72.5
4,2065,1,0,0,74.1
4,2070,1,0,0,75.6
4,2075,1,0,0,77.1
4,2080,1,0,0,78.5
4,2085,1,0,0,79.8
4,2090,1,0,0,81.2
4,2095,1,0,0,82.5
4,2010,2,0,0,51
4,2015,2,0,0,52.7
4,2020,2,0,0,55.3
4,2025,2,0,0,57.8
4,2030,2,0,0,60.3
4,2035,2,0,0,62.9
4,2040,2,0,0,65.2
4,2045,2,0,0,67.7
4,2050,2,0,0,70
4,2055,2,0,0,72.4
4,2060,2,0,0,74.5
4,2065,2,0,0,76.6
4,2070,2,0,0,78.1
4,2075,2,0,0,79.8
4,2080,2,0,0,81.3
4,2085,2,0,0,82.8
4,2090,2,0,0,84.2
4,2095,2,0,0,85.6
4,2010,0,0,0,50.7
4,2015,0,0,0,52.5
4,2020,0,0,0,55.1
4,2025,0,0,0,57.6
4,2030,0,0,0,60.1
4,2035,0,0,0,62.4
4,2040,0,0,0,64.8
4,2045,0,0,0,67.2
4,2050,0,0,0,69.4
4,2055,0,0,0,71.5
4,2060,0,0,0,73.5
4,2065,0,0,0,75.3
4,2070,0,0,0,76.8
4,2075,0,0,0,78.4
4,2080,0,0,0,79.8
4,2085,0,0,0,81.3
4,2090,0,0,0,82.7
4,2095,0,0,0,84
8,2010,1,0,0,75
8,2015,1,0,0,76.3
8,2020,1,0,0,78
8,2025,1,0,0,79.7
8,2030,1,0,0,81.2
8,2035,1,0,0,82.8
8,2040,1,0,0,84.4
8,2045,1,0,0,86
8,2050,1,0,0,87.5
8,2055,1,0,0,89.2
8,2060,1,0,0,90.7
8,2065,1,0,0,92.3
8,2070,1,0,0,93.8
8,2075,1,0,0,95.4
8,2080,1,0,0,96.8
8,2085,1,0,0,98.3
8,2090,1,0,0,99.9
8,2095,1,0,0,101.4
8,2010,2,0,0,81.4
8,2015,2,0,0,82.7
8,2020,2,0,0,84.1
8,2025,2,0,0,85.6
8,2030,2,0,0,87.1
8,2035,2,0,0,88.6
8,2040,2,0,0,90.1
8,2045,2,0,0,91.6
8,2050,2,0,0,93.1
8,2055,2,0,0,94.6
8,2060,2,0,0,96.1
8,2065,2,0,0,97.6
8,2070,2,0,0,99.2
8,2075,2,0,0,100.7
8,2080,2,0,0,102.2
8,2085,2,0,0,103.7
8,2090,2,0,0,105.2
8,2095,2,0,0,106.9
8,2010,0,0,0,78
8,2015,0,0,0,79.4
8,2020,0,0,0,81
8,2025,0,0,0,82.7
8,2030,0,0,0,84.2
8,2035,0,0,0,85.8
8,2040,0,0,0,87.4
8,2045,0,0,0,88.9
8,2050,0,0,0,90.5
8,2055,0,0,0,92
8,2060,0,0,0,93.6
8,2065,0,0,0,95.2
8,2070,0,0,0,96.7
8,2075,0,0,0,98.2
8,2080,0,0,0,99.6
8,2085,0,0,0,101.1
8,2090,0,0,0,102.6
8,2095,0,0,0,104.2
12,2010,1,0,0,72.6
12,2015,1,0,0,74.1
12,2020,1,0,0,75.7
12,2025,1,0,0,77.3
12,2030,1,0,0,78.8
12,2035,1,0,0,80.2
12,2040,1,0,0,81.7
12,2045,1,0,0,83.1
12,2050,1,0,0,84.6
12,2055,1,0,0,86.1
12,2060,1,0,0,87.6
12,2065,1,0,0,89.1
12,2070,1,0,0,90.6
12,2075,1,0,0,92.1
12,2080,1,0,0,93.6
12,2085,1,0,0,95.2
12,2090,1,0,0,96.7
12,2095,1,0,0,98.2
12,2010,2,0,0,75.8
12,2015,2,0,0,77.5
12,2020,2,0,0,79.3
12,2025,2,0,0,80.9
12,2030,2,0,0,82.5
12,2035,2,0,0,84
12,2040,2,0,0,85.5
12,2045,2,0,0,87
12,2050,2,0,0,88.5
12,2055,2,0,0,89.9
12,2060,2,0,0,91.4
12,2065,2,0,0,92.9
12,2070,2,0,0,94.4
12,2075,2,0,0,95.9
12,2080,2,0,0,97.4
12,2085,2,0,0,98.9
12,2090,2,0,0,100.4
12,2095,2,0,0,101.9
12,2010,0,0,0,74.2
12,2015,0,0,0,75.8
12,2020,0,0,0,77.5
12,2025,0,0,0,79.2
12,2030,0,0,0,80.7
12,2035,0,0,0,82.1
12,2040,0,0,0,83.6
12,2045,0,0,0,85.1
12,2050,0,0,0,86.6
12,2055,0,0,0,88
12,2060,0,0,0,89.5
12,2065,0,0,0,91
12,2070,0,0,0,92.5
12,2075,0,0,0,94
