"isono","year","sexno","ageno","eduno","ggapedu25"
4,2085,0,0,4,0.87
4,2085,0,0,5,1.15
4,2085,0,0,6,1.44
4,2085,0,0,7,1.74
4,2090,0,0,0,NA
4,2090,0,0,1,NA
4,2090,0,0,2,0.61
4,2090,0,0,3,1.31
4,2090,0,0,4,0.86
4,2090,0,0,5,1.14
4,2090,0,0,6,1.43
4,2090,0,0,7,1.73
4,2095,0,0,0,NA
4,2095,0,0,1,NA
4,2095,0,0,2,0.61
4,2095,0,0,3,1.3
4,2095,0,0,4,0.86
4,2095,0,0,5,1.14
4,2095,0,0,6,1.43
4,2095,0,0,7,1.72
4,2100,0,0,0,NA
4,2100,0,0,1,NA
4,2100,0,0,2,0.6
4,2100,0,0,3,1.29
4,2100,0,0,4,0.85
4,2100,0,0,5,1.13
4,2100,0,0,6,1.42
4,2100,0,0,7,1.71
8,1970,0,0,0,NA
8,1970,0,0,1,NA
8,1970,0,0,2,0.59
8,1970,0,0,3,0.93
8,1970,0,0,4,1.13
8,1970,0,0,5,1.33
8,1970,0,0,6,2.52
8,1970,0,0,7,3.59
8,1975,0,0,0,NA
8,1975,0,0,1,NA
8,1975,0,0,2,0.56
8,1975,0,0,3,0.91
8,1975,0,0,4,0.99
8,1975,0,0,5,1.13
8,1975,0,0,6,2.14
8,1975,0,0,7,3.31
8,1980,0,0,0,NA
8,1980,0,0,1,NA
8,1980,0,0,2,0.51
8,1980,0,0,3,0.99
8,1980,0,0,4,0.97
8,1980,0,0,5,1.14
8,1980,0,0,6,1.81
8,1980,0,0,7,2.86
8,1985,0,0,0,NA
8,1985,0,0,1,NA
8,1985,0,0,2,0.48
8,1985,0,0,3,0.92
8,1985,0,0,4,0.91
8,1985,0,0,5,1.05
8,1985,0,0,6,1.51
8,1985,0,0,7,2.64
8,1990,0,0,0,NA
8,1990,0,0,1,NA
8,1990,0,0,2,0.44
8,1990,0,0,3,0.89
8,1990,0,0,4,0.89
8,1990,0,0,5,1
8,1990,0,0,6,1.4
8,1990,0,0,7,2.16
8,1995,0,0,0,NA
8,1995,0,0,1,NA
8,1995,0,0,2,0.41
8,1995,0,0,3,0.84
8,1995,0,0,4,0.85
8,1995,0,0,5,0.95
8,1995,0,0,6,1.28
8,1995,0,0,7,1.92
8,2000,0,0,0,NA
8,2000,0,0,1,NA
8,2000,0,0,2,0.4
8,2000,0,0,3,0.89
8,2000,0,0,4,0.83
8,2000,0,0,5,0.92
8,2000,0,0,6,1.18
8,2000,0,0,7,1.7
8,2005,0,0,0,NA
8,2005,0,0,1,NA
8,2005,0,0,2,0.37
8,2005,0,0,3,0.78
8,2005,0,0,4,0.8
8,2005,0,0,5,0.91
8,2005,0,0,6,1.1
8,2005,0,0,7,1.5
8,2010,0,0,0,NA
8,2010,0,0,1,NA
8,2010,0,0,2,0.39
8,2010,0,0,3,0.78
8,2010,0,0,4,0.75
8,2010,0,0,5,0.93
8,2010,0,0,6,1.04
8,2010,0,0,7,1.29
8,2015,0,0,0,NA
8,2015,0,0,1,NA
8,2015,0,0,2,0.46
8,2015,0,0,3,0.74
8,2015,0,0,4,0.74
8,2015,0,0,5,0.92
8,2015,0,0,6,1.04
8,2015,0,0,7,1.24
8,2020,0,0,0,NA
8,2020,0,0,1,NA
8,2020,0,0,2,0.6
8,2020,0,0,3,0.78
8,2020,0,0,4,0.75
8,2020,0,0,5,0.91
8,2020,0,0,6,1.04
8,2020,0,0,7,1.19
8,2025,0,0,0,NA
8,2025,0,0,1,NA
8,2025,0,0,2,0.8
8,2025,0,0,3,0.88
8,2025,0,0,4,0.81
8,2025,0,0,5,0.91
8,2025,0,0,6,1.04
8,2025,0,0,7,1.14
8,2030,0,0,0,NA
8,2030,0,0,1,NA
8,2030,0,0,2,1.03
8,2030,0,0,3,1.03
8,2030,0,0,4,0.94
8,2030,0,0,5,0.91
8,2030,0,0,6,1.04
8,2030,0,0,7,1.1
8,2035,0,0,0,NA
8,2035,0,0,1,NA
8,2035,0,0,2,1.22
8,2035,0,0,3,1.19
8,2035,0,0,4,1.14
8,2035,0,0,5,0.91
8,2035,0,0,6,1.04
8,2035,0,0,7,1.07
8,2040,0,0,0,NA
8,2040,0,0,1,NA
8,2040,0,0,2,1.35
8,2040,0,0,3,1.33
8,2040,0,0,4,1.37
8,2040,0,0,5,0.91
8,2040,0,0,6,1.03
8,2040,0,0,7,1.04
8,2045,0,0,0,NA
8,2045,0,0,1,NA
8,2045,0,0,2,1.44
8,2045,0,0,3,1.44
8,2045,0,0,4,1.58
8,2045,0,0,5,0.92
8,2045,0,0,6,1.03
8,2045,0,0,7,1.02
8,2050,0,0,0,NA
8,2050,0,0,1,NA
8,2050,0,0,2,1.49
8,2050,0,0,3,1.55
8,2050,0,0,4,1.73
8,2050,0,0,5,0.93
8,2050,0,0,6,1.03
8,2050,0,0,7,1.01
8,2055,0,0,0,NA
8,2055,0,0,1,NA
8,2055,0,0,2,1.52
8,2055,0,0,3,1.65
8,2055,0,0,4,1.79
8,2055,0,0,5,0.94
8,2055,0,0,6,1.04
8,2055,0,0,7,1.01
8,2060,0,0,0,NA
8,2060,0,0,1,NA
8,2060,0,0,2,1.53
8,2060,0,0,3,1.75
8,2060,0,0,4,1.82
8,2060,0,0,5,0.95
8,2060,0,0,6,1.05
8,2060,0,0,7,1.01
8,2065,0,0,0,NA
8,2065,0,0,1,NA
8,2065,0,0,2,1.53
8,2065,0,0,3,1.81
8,2065,0,0,4,1.82
8,2065,0,0,5,0.95
8,2065,0,0,6,1.06
8,2065,0,0,7,1.02
8,2070,0,0,0,NA
8,2070,0,0,1,NA
8,2070,0,0,2,1.51
8,2070,0,0,3,1.83
8,2070,0,0,4,1.81
8,2070,0,0,5,0.95
8,2070,0,0,6,1.07
8,2070,0,0,7,1.02
8,2075,0,0,0,NA
8,2075,0,0,1,NA
8,2075,0,0,2,1.49
8,2075,0,0,3,1.83
8,2075,0,0,4,1.8
8,2075,0,0,5,0.95
8,2075,0,0,6,1.08
8,2075,0,0,7,1.03
8,2080,0,0,0,NA
8,2080,0,0,1,NA
8,2080,0,0,2,1.48
8,2080,0,0,3,1.82
8,2080,0,0,4,1.8
8,2080,0,0,5,0.94
8,2080,0,0,6,1.08
8,2080,0,0,7,1.03
8,2085,0,0,0,NA
8,2085,0,0,1,NA
8,2085,0,0,2,1.48
8,2085,0,0,3,1.81
8,2085,0,0,4,1.79
8,2085,0,0,5,0.94
8,2085,0,0,6,1.08
8,2085,0,0,7,1.03
8,2090,0,0,0,NA
8,2090,0,0,1,NA
8,2090,0,0,2,1.47
8,2090,0,0,3,1.81
8,2090,0,0,4,1.79
8,2090,0,0,5,0.94
8,2090,0,0,6,1.08
8,2090,0,0,7,1.03
8,2095,0,0,0,NA
8,2095,0,0,1,NA
8,2095,0,0,2,1.47
8,2095,0,0,3,1.81
8,2095,0,0,4,1.78
8,2095,0,0,5,0.94
8,2095,0,0,6,1.08
8,2095,0,0,7,1.03
8,2100,0,0,0,NA
8,2100,0,0,1,NA
8,2100,0,0,2,1.46
8,2100,0,0,3,1.8
8,2100,0,0,4,1.78
8,2100,0,0,5,0.93
8,2100,0,0,6,1.08
8,2100,0,0,7,1.02
12,1970,0,0,0,NA
12,1970,0,0,1,NA
12,1970,0,0,2,0.74
12,1970,0,0,3,2.03
12,1970,0,0,4,2.87
12,1970,0,0,5,3.37
12,1970,0,0,6,2.76
12,1970,0,0,7,5.6
12,1975,0,0,0,NA
12,1975,0,0,1,NA
12,1975,0,0,2,0.71
12,1975,0,0,3,1.71
12,1975,0,0,4,2.25
12,1975,0,0,5,2.88
12,1975,0,0,6,2.53
12,1975,0,0,7,5.39
12,1980,0,0,0,NA
12,1980,0,0,1,NA
12,1980,0,0,2,0.72
12,1980,0,0,3,1.64
12,1980,0,0,4,2.09
12,1980,0,0,5,2.69
12,1980,0,0,6,2.45
12,1980,0,0,7,4.47
12,1985,0,0,0,NA
12,1985,0,0,1,NA
12,1985,0,0,2,0.67
12,1985,0,0,3,1.47
12,1985,0,0,4,1.81
12,1985,0,0,5,2.32
12,1985,0,0,6,2.18
12,1985,0,0,7,3.66
12,1990,0,0,0,NA
12,1990,0,0,1,NA
12,1990,0,0,2,0.61
12,1990,0,0,3,1.43
12,1990,0,0,4,1.69
12,1990,0,0,5,1.97
12,1990,0,0,6,1.82
12,1990,0,0,7,2.68
12,1995,0,0,0,NA
12,1995,0,0,1,NA
12,1995,0,0,2,0.56
12,1995,0,0,3,1.36
12,1995,0,0,4,1.54
12,1995,0,0,5,1.86
12,1995,0,0,6,1.54
12,1995,0,0,7,2.12
12,2000,0,0,0,NA
12,2000,0,0,1,NA
12,2000,0,0,2,0.51
12,2000,0,0,3,1.32
12,2000,0,0,4,1.41
12,2000,0,0,5,1.71
12,2000,0,0,6,1.4
12,2000,0,0,7,1.57
12,2005,0,0,0,NA
12,2005,0,0,1,NA
12,2005,0,0,2,0.47
12,2005,0,0,3,1.13
12,2005,0,0,4,1.29
