"isono","year","sexno","ageno","eduno","e0"
4,2010,1,0,0,49.1
4,2015,1,0,0,49.3
4,2020,1,0,0,50.4
4,2025,1,0,0,51.6
4,2030,1,0,0,52.9
4,2035,1,0,0,54.1
4,2040,1,0,0,54.9
4,2045,1,0,0,55.8
4,2050,1,0,0,56.8
4,2055,1,0,0,57.4
4,2060,1,0,0,58
4,2065,1,0,0,58.3
4,2070,1,0,0,58.8
4,2075,1,0,0,59.1
4,2080,1,0,0,59.4
4,2085,1,0,0,59.5
4,2090,1,0,0,59.9
4,2095,1,0,0,60.1
4,2010,2,0,0,49.6
4,2015,2,0,0,49.8
4,2020,2,0,0,50.9
4,2025,2,0,0,52
4,2030,2,0,0,53.5
4,2035,2,0,0,54.7
4,2040,2,0,0,56
4,2045,2,0,0,57
4,2050,2,0,0,58.2
4,2055,2,0,0,59.3
4,2060,2,0,0,60.1
4,2065,2,0,0,61
4,2070,2,0,0,61.5
4,2075,2,0,0,62.1
4,2080,2,0,0,62.6
4,2085,2,0,0,62.9
4,2090,2,0,0,63.4
4,2095,2,0,0,63.7
4,2010,0,0,0,49.3
4,2015,0,0,0,49.5
4,2020,0,0,0,50.6
4,2025,0,0,0,51.8
4,2030,0,0,0,53.2
4,2035,0,0,0,54.4
4,2040,0,0,0,55.4
4,2045,0,0,0,56.4
4,2050,0,0,0,57.5
4,2055,0,0,0,58.3
4,2060,0,0,0,59
4,2065,0,0,0,59.6
4,2070,0,0,0,60.1
4,2075,0,0,0,60.5
4,2080,0,0,0,60.9
4,2085,0,0,0,61.2
4,2090,0,0,0,61.6
4,2095,0,0,0,61.9
8,2010,1,0,0,74.6
8,2015,1,0,0,75.5
8,2020,1,0,0,76.5
8,2025,1,0,0,77.6
8,2030,1,0,0,78.7
8,2035,1,0,0,79.7
8,2040,1,0,0,80.7
8,2045,1,0,0,81.8
8,2050,1,0,0,82.8
8,2055,1,0,0,83.7
8,2060,1,0,0,84.7
8,2065,1,0,0,85.6
8,2070,1,0,0,86.5
8,2075,1,0,0,87.5
8,2080,1,0,0,88.5
8,2085,1,0,0,89.5
8,2090,1,0,0,90.5
8,2095,1,0,0,91.5
8,2010,2,0,0,80.9
8,2015,2,0,0,81.9
8,2020,2,0,0,82.8
8,2025,2,0,0,83.7
8,2030,2,0,0,84.6
8,2035,2,0,0,85.6
8,2040,2,0,0,86.6
8,2045,2,0,0,87.5
8,2050,2,0,0,88.5
8,2055,2,0,0,89.5
8,2060,2,0,0,90.4
8,2065,2,0,0,91.4
8,2070,2,0,0,92.3
8,2075,2,0,0,93.2
8,2080,2,0,0,94.1
8,2085,2,0,0,95.1
8,2090,2,0,0,96.1
8,2095,2,0,0,97.1
8,2010,0,0,0,77.5
8,2015,0,0,0,78.6
8,2020,0,0,0,79.6
8,2025,0,0,0,80.6
8,2030,0,0,0,81.7
8,2035,0,0,0,82.7
8,2040,0,0,0,83.8
8,2045,0,0,0,84.8
8,2050,0,0,0,85.7
8,2055,0,0,0,86.7
8,2060,0,0,0,87.7
8,2065,0,0,0,88.6
8,2070,0,0,0,89.4
8,2075,0,0,0,90.4
8,2080,0,0,0,91.3
8,2085,0,0,0,92.3
8,2090,0,0,0,93.3
8,2095,0,0,0,94.3
12,2010,1,0,0,72.2
12,2015,1,0,0,73.2
12,2020,1,0,0,74.2
12,2025,1,0,0,75.1
12,2030,1,0,0,76
12,2035,1,0,0,76.8
12,2040,1,0,0,77.6
12,2045,1,0,0,78.5
12,2050,1,0,0,79.4
12,2055,1,0,0,80.2
12,2060,1,0,0,81.1
12,2065,1,0,0,82
12,2070,1,0,0,83
12,2075,1,0,0,84
12,2080,1,0,0,84.9
12,2085,1,0,0,85.9
12,2090,1,0,0,86.9
12,2095,1,0,0,87.8
12,2010,2,0,0,75.4
12,2015,2,0,0,76.5
12,2020,2,0,0,77.7
12,2025,2,0,0,78.8
12,2030,2,0,0,79.8
12,2035,2,0,0,80.7
12,2040,2,0,0,81.6
12,2045,2,0,0,82.5
12,2050,2,0,0,83.4
12,2055,2,0,0,84.3
12,2060,2,0,0,85.2
12,2065,2,0,0,86
12,2070,2,0,0,87
12,2075,2,0,0,87.9
12,2080,2,0,0,88.8
12,2085,2,0,0,89.8
12,2090,2,0,0,90.8
12,2095,2,0,0,91.7
12,2010,0,0,0,73.8
12,2015,0,0,0,74.9
12,2020,0,0,0,76
12,2025,0,0,0,77
12,2030,0,0,0,77.9
12,2035,0,0,0,78.7
12,2040,0,0,0,79.6
12,2045,0,0,0,80.5
12,2050,0,0,0,81.4
12,2055,0,0,0,82.3
12,2060,0,0,0,83.1
12,2065,0,0,0,84
12,2070,0,0,0,85
12,2075,0,0,0,85.9
12,2080,0,0,0,86.9
12,2085,0,0,0,87.9
12,2090,0,0,0,88.8
12,2095,0,0,0,89.8
24,2010,1,0,0,50
24,2015,1,0,0,48.2
24,2020,1,0,0,48.1
24,2025,1,0,0,48.4
24,2030,1,0,0,48.9
24,2035,1,0,0,49
24,2040,1,0,0,49.3
24,2045,1,0,0,49.5
24,2050,1,0,0,49.7
24,2055,1,0,0,50.5
24,2060,1,0,0,50.7
24,2065,1,0,0,51.7
24,2070,1,0,0,52.1
