"isono","year","sexno","ageno","eduno","pmage"
51,2095,0,0,0,36.3
52,2010,0,0,0,37.5
52,2015,0,0,0,38.4
52,2020,0,0,0,39.1
52,2025,0,0,0,40
52,2030,0,0,0,41.1
52,2035,0,0,0,42
52,2040,0,0,0,43
52,2045,0,0,0,43.8
52,2050,0,0,0,44.4
52,2055,0,0,0,44.5
52,2060,0,0,0,44.1
52,2065,0,0,0,43.8
52,2070,0,0,0,43.4
52,2075,0,0,0,43.2
52,2080,0,0,0,42.9
52,2085,0,0,0,42.5
52,2090,0,0,0,42.1
52,2095,0,0,0,41.7
56,2010,0,0,0,41.2
56,2015,0,0,0,41.1
56,2020,0,0,0,40.6
56,2025,0,0,0,40.1
56,2030,0,0,0,39.7
56,2035,0,0,0,39.3
56,2040,0,0,0,39
56,2045,0,0,0,38.4
56,2050,0,0,0,37.8
56,2055,0,0,0,37.3
56,2060,0,0,0,36.8
56,2065,0,0,0,36.3
56,2070,0,0,0,36
56,2075,0,0,0,35.7
56,2080,0,0,0,35.6
56,2085,0,0,0,35.5
56,2090,0,0,0,35.3
56,2095,0,0,0,35.3
64,2010,0,0,0,24.6
64,2015,0,0,0,25.5
64,2020,0,0,0,26.5
64,2025,0,0,0,27.6
64,2030,0,0,0,28.4
64,2035,0,0,0,29.1
64,2040,0,0,0,29.7
64,2045,0,0,0,30.3
64,2050,0,0,0,30.8
64,2055,0,0,0,31.5
64,2060,0,0,0,32.2
64,2065,0,0,0,32.9
64,2070,0,0,0,33.5
64,2075,0,0,0,33.9
64,2080,0,0,0,34.3
64,2085,0,0,0,34.6
64,2090,0,0,0,35
64,2095,0,0,0,35.4
68,2010,0,0,0,21.6
68,2015,0,0,0,21.9
68,2020,0,0,0,22.8
68,2025,0,0,0,23.6
68,2030,0,0,0,24.5
68,2035,0,0,0,25.5
68,2040,0,0,0,26.5
68,2045,0,0,0,27.4
68,2050,0,0,0,28.3
68,2055,0,0,0,29.2
68,2060,0,0,0,30
68,2065,0,0,0,30.8
68,2070,0,0,0,31.5
68,2075,0,0,0,32.1
68,2080,0,0,0,32.5
68,2085,0,0,0,32.8
68,2090,0,0,0,33
68,2095,0,0,0,33.2
70,2010,0,0,0,39.4
70,2015,0,0,0,40
70,2020,0,0,0,40.8
70,2025,0,0,0,41.6
70,2030,0,0,0,42.7
70,2035,0,0,0,43.8
70,2040,0,0,0,44.9
70,2045,0,0,0,45.3
70,2050,0,0,0,45.4
70,2055,0,0,0,45.4
70,2060,0,0,0,44.7
70,2065,0,0,0,44
70,2070,0,0,0,43.7
70,2075,0,0,0,43.4
70,2080,0,0,0,42.9
70,2085,0,0,0,42.4
70,2090,0,0,0,41.8
70,2095,0,0,0,41.2
72,2010,0,0,0,22.9
72,2015,0,0,0,23.9
72,2020,0,0,0,25
72,2025,0,0,0,25.1
72,2030,0,0,0,25
72,2035,0,0,0,25.3
72,2040,0,0,0,25.3
72,2045,0,0,0,25.2
72,2050,0,0,0,24.7
72,2055,0,0,0,24.2
72,2060,0,0,0,23.6
72,2065,0,0,0,23.1
72,2070,0,0,0,22.6
72,2075,0,0,0,22.2
72,2080,0,0,0,21.7
72,2085,0,0,0,21.4
72,2090,0,0,0,21.2
72,2095,0,0,0,21
76,2010,0,0,0,29.1
76,2015,0,0,0,30
76,2020,0,0,0,30.9
76,2025,0,0,0,31.7
76,2030,0,0,0,32.4
76,2035,0,0,0,33.3
76,2040,0,0,0,34.2
76,2045,0,0,0,35.4
76,2050,0,0,0,36.4
76,2055,0,0,0,37.2
76,2060,0,0,0,37.8
76,2065,0,0,0,38.3
76,2070,0,0,0,38.8
76,2075,0,0,0,39.2
76,2080,0,0,0,39.4
76,2085,0,0,0,39.5
76,2090,0,0,0,39.5
76,2095,0,0,0,39.4
84,2010,0,0,0,21.7
84,2015,0,0,0,22.3
84,2020,0,0,0,23.3
84,2025,0,0,0,24.3
84,2030,0,0,0,25.1
84,2035,0,0,0,26.2
84,2040,0,0,0,27.2
84,2045,0,0,0,28.3
84,2050,0,0,0,29.2
84,2055,0,0,0,30.2
84,2060,0,0,0,31.2
84,2065,0,0,0,32.1
84,2070,0,0,0,33
84,2075,0,0,0,33.7
84,2080,0,0,0,34.3
84,2085,0,0,0,34.9
84,2090,0,0,0,35.3
84,2095,0,0,0,35.7
90,2010,0,0,0,19.9
90,2015,0,0,0,20.7
90,2020,0,0,0,21.8
90,2025,0,0,0,23
90,2030,0,0,0,24
90,2035,0,0,0,25.3
90,2040,0,0,0,26.6
90,2045,0,0,0,27.8
90,2050,0,0,0,28.7
90,2055,0,0,0,29.4
90,2060,0,0,0,30.3
90,2065,0,0,0,31
90,2070,0,0,0,31.6
90,2075,0,0,0,32.2
90,2080,0,0,0,32.8
90,2085,0,0,0,33.1
90,2090,0,0,0,33.4
90,2095,0,0,0,33.6
96,2010,0,0,0,29
96,2015,0,0,0,29.9
96,2020,0,0,0,30.8
96,2025,0,0,0,31.9
96,2030,0,0,0,32.9
96,2035,0,0,0,33.6
96,2040,0,0,0,34.2
96,2045,0,0,0,34.8
96,2050,0,0,0,35.4
96,2055,0,0,0,36
96,2060,0,0,0,36.4
96,2065,0,0,0,36.9
96,2070,0,0,0,37.4
96,2075,0,0,0,38
96,2080,0,0,0,38.5
96,2085,0,0,0,39.1
96,2090,0,0,0,39.5
96,2095,0,0,0,39.9
100,2010,0,0,0,41.6
100,2015,0,0,0,41.7
100,2020,0,0,0,42.3
100,2025,0,0,0,42.9
100,2030,0,0,0,43.5
100,2035,0,0,0,44.1
100,2040,0,0,0,44.4
100,2045,0,0,0,44.1
100,2050,0,0,0,43
100,2055,0,0,0,42
100,2060,0,0,0,41.7
100,2065,0,0,0,41.2
100,2070,0,0,0,40.4
100,2075,0,0,0,39.7
100,2080,0,0,0,38.8
100,2085,0,0,0,38
100,2090,0,0,0,37.5
100,2095,0,0,0,37.3
104,2010,0,0,0,28.2
104,2015,0,0,0,30.1
104,2020,0,0,0,31.5
104,2025,0,0,0,33.3
104,2030,0,0,0,34.4
104,2035,0,0,0,35.9
104,2040,0,0,0,36.6
104,2045,0,0,0,37.5
104,2050,0,0,0,38.1
104,2055,0,0,0,38.3
104,2060,0,0,0,38.4
104,2065,0,0,0,38.3
104,2070,0,0,0,38
104,2075,0,0,0,37.8
104,2080,0,0,0,37.5
104,2085,0,0,0,37
104,2090,0,0,0,36.5
104,2095,0,0,0,35.9
108,2010,0,0,0,20.2
108,2015,0,0,0,20.2
108,2020,0,0,0,21
108,2025,0,0,0,21.3
108,2030,0,0,0,21.9
108,2035,0,0,0,22.2
108,2040,0,0,0,23.3
108,2045,0,0,0,24.2
108,2050,0,0,0,24.8
108,2055,0,0,0,25.5
108,2060,0,0,0,26.2
108,2065,0,0,0,26.6
108,2070,0,0,0,26.9
108,2075,0,0,0,27.1
108,2080,0,0,0,27.3
108,2085,0,0,0,27.5
108,2090,0,0,0,27.8
108,2095,0,0,0,27.8
112,2010,0,0,0,38.2
112,2015,0,0,0,37.9
112,2020,0,0,0,37.9
112,2025,0,0,0,38.4
112,2030,0,0,0,39.4
112,2035,0,0,0,40.5
112,2040,0,0,0,41.1
112,2045,0,0,0,40.5
112,2050,0,0,0,39.2
112,2055,0,0,0,38.3
112,2060,0,0,0,38.2
112,2065,0,0,0,38.3
112,2070,0,0,0,38.1
112,2075,0,0,0,37.5
112,2080,0,0,0,36.6
112,2085,0,0,0,35.6
112,2090,0,0,0,34.9
112,2095,0,0,0,34.7
116,2010,0,0,0,22.9
116,2015,0,0,0,23.5
116,2020,0,0,0,24.6
116,2025,0,0,0,25.9
116,2030,0,0,0,26.8
116,2035,0,0,0,27.7
116,2040,0,0,0,28.4
116,2045,0,0,0,29.2
116,2050,0,0,0,30
116,2055,0,0,0,30.9
116,2060,0,0,0,31.6
116,2065,0,0,0,32.3
116,2070,0,0,0,32.7
116,2075,0,0,0,32.8
116,2080,0,0,0,32.7
116,2085,0,0,0,32.7
116,2090,0,0,0,32.8
116,2095,0,0,0,33
120,2010,0,0,0,19.3
120,2015,0,0,0,18.8
120,2020,0,0,0,19.2
120,2025,0,0,0,19.7
120,2030,0,0,0,20.5
120,2035,0,0,0,21.7
120,2040,0,0,0,22.4
120,2045,0,0,0,23.3
120,2050,0,0,0,24.2
120,2055,0,0,0,24.6
120,2060,0,0,0,25
120,2065,0,0,0,25.6
120,2070,0,0,0,26.5
120,2075,0,0,0,26.7
120,2080,0,0,0,26.9
120,2085,0,0,0,27
120,2090,0,0,0,27.3
120,2095,0,0,0,27.3
124,2010,0,0,0,39.9
124,2015,0,0,0,39.7
124,2020,0,0,0,39.3
124,2025,0,0,0,39.1
124,2030,0,0,0,39.1
124,2035,0,0,0,39.2
124,2040,0,0,0,39.2
124,2045,0,0,0,38.7
124,2050,0,0,0,37.8
124,2055,0,0,0,37.1
124,2060,0,0,0,36.3
124,2065,0,0,0,35.9
124,2070,0,0,0,35.7
124,2075,0,0,0,35.6
124,2080,0,0,0,35.5
124,2085,0,0,0,35.3
124,2090,0,0,0,35.1
124,2095,0,0,0,34.9
132,2010,0,0,0,22.7
