"isono","year","sexno","ageno","eduno","etfr"
4,2010,0,0,0,6.25
4,2010,0,0,2,8.91
4,2010,0,0,3,8.16
4,2010,0,0,4,6.78
4,2010,0,0,5,4.93
4,2010,0,0,6,3.6
4,2010,0,0,7,3.12
4,2010,2,0,0,6.25
4,2010,2,0,2,8.91
4,2010,2,0,3,8.16
4,2010,2,0,4,6.78
4,2010,2,0,5,4.93
4,2010,2,0,6,3.6
4,2010,2,0,7,3.12
8,2010,0,0,0,1.41
8,2010,0,0,2,1.8
8,2010,0,0,3,1.8
8,2010,0,0,4,1.8
8,2010,0,0,5,1.7
8,2010,0,0,6,1.25
8,2010,0,0,7,1.01
8,2010,2,0,0,1.41
8,2010,2,0,2,1.8
8,2010,2,0,3,1.8
8,2010,2,0,4,1.8
8,2010,2,0,5,1.7
8,2010,2,0,6,1.25
8,2010,2,0,7,1.01
12,2010,0,0,0,2.2
12,2010,0,0,2,2.79
12,2010,0,0,3,2.79
12,2010,0,0,4,2.79
12,2010,0,0,5,2.27
12,2010,0,0,6,1.91
12,2010,0,0,7,1.7
12,2010,2,0,0,2.2
12,2010,2,0,2,2.79
12,2010,2,0,3,2.79
12,2010,2,0,4,2.79
12,2010,2,0,5,2.27
12,2010,2,0,6,1.91
12,2010,2,0,7,1.7
24,2010,0,0,0,5.26
24,2010,0,0,2,6.52
24,2010,0,0,3,6.52
24,2010,0,0,4,5.25
24,2010,0,0,5,3.83
24,2010,0,0,6,2.6
24,2010,0,0,7,1.91
24,2010,2,0,0,5.26
24,2010,2,0,2,6.52
24,2010,2,0,3,6.52
24,2010,2,0,4,5.25
24,2010,2,0,5,3.83
24,2010,2,0,6,2.6
24,2010,2,0,7,1.91
31,2010,0,0,0,2.38
31,2010,0,0,2,2.67
31,2010,0,0,3,2.67
31,2010,0,0,4,2.67
31,2010,0,0,5,2.69
31,2010,0,0,6,2.33
31,2010,0,0,7,1.88
31,2010,2,0,0,2.38
31,2010,2,0,2,2.67
31,2010,2,0,3,2.67
31,2010,2,0,4,2.67
31,2010,2,0,5,2.69
31,2010,2,0,6,2.33
31,2010,2,0,7,1.88
32,2010,0,0,0,2.13
32,2010,0,0,2,2.74
32,2010,0,0,3,2.74
32,2010,0,0,4,2.74
32,2010,0,0,5,2.22
32,2010,0,0,6,1.88
32,2010,0,0,7,1.68
32,2010,2,0,0,2.13
32,2010,2,0,2,2.74
32,2010,2,0,3,2.74
32,2010,2,0,4,2.74
32,2010,2,0,5,2.22
32,2010,2,0,6,1.88
32,2010,2,0,7,1.68
36,2010,0,0,0,1.88
36,2010,0,0,2,2.38
36,2010,0,0,3,2.38
36,2010,0,0,4,2.38
36,2010,0,0,5,2.38
36,2010,0,0,6,1.94
36,2010,0,0,7,1.69
36,2010,2,0,0,1.88
36,2010,2,0,2,2.38
36,2010,2,0,3,2.38
36,2010,2,0,4,2.38
36,2010,2,0,5,2.38
36,2010,2,0,6,1.94
36,2010,2,0,7,1.69
40,2010,0,0,0,1.43
40,2010,0,0,2,1.68
40,2010,0,0,3,1.68
40,2010,0,0,4,1.68
40,2010,0,0,5,1.68
40,2010,0,0,6,1.36
40,2010,0,0,7,1.38
