"isono","year","sexno","ageno","eduno","e0"
4,2010,1,0,0,48.5
4,2015,1,0,0,50.5
4,2020,1,0,0,52.5
4,2025,1,0,0,54.6
4,2030,1,0,0,56.6
4,2035,1,0,0,58.6
4,2040,1,0,0,60.5
4,2045,1,0,0,62.1
4,2050,1,0,0,63.7
4,2055,1,0,0,65.1
4,2060,1,0,0,66.3
4,2065,1,0,0,67.5
4,2070,1,0,0,68.5
4,2075,1,0,0,69.5
4,2080,1,0,0,70.5
4,2085,1,0,0,71.3
4,2090,1,0,0,72.3
4,2095,1,0,0,73.1
4,2010,2,0,0,48.8
4,2015,2,0,0,50.8
4,2020,2,0,0,52.8
4,2025,2,0,0,55
4,2030,2,0,0,57.1
4,2035,2,0,0,59.2
4,2040,2,0,0,61.4
4,2045,2,0,0,63.4
4,2050,2,0,0,65.2
4,2055,2,0,0,67
4,2060,2,0,0,68.6
4,2065,2,0,0,70
4,2070,2,0,0,71.2
4,2075,2,0,0,72.4
4,2080,2,0,0,73.5
4,2085,2,0,0,74.5
4,2090,2,0,0,75.5
4,2095,2,0,0,76.4
4,2010,0,0,0,48.7
4,2015,0,0,0,50.7
4,2020,0,0,0,52.7
4,2025,0,0,0,54.8
4,2030,0,0,0,56.8
4,2035,0,0,0,58.9
4,2040,0,0,0,60.9
4,2045,0,0,0,62.7
4,2050,0,0,0,64.4
4,2055,0,0,0,66
4,2060,0,0,0,67.4
4,2065,0,0,0,68.7
4,2070,0,0,0,69.8
4,2075,0,0,0,70.9
4,2080,0,0,0,71.9
4,2085,0,0,0,72.9
4,2090,0,0,0,73.8
4,2095,0,0,0,74.6
8,2010,1,0,0,74.6
8,2015,1,0,0,75.6
8,2020,1,0,0,76.6
8,2025,1,0,0,77.7
8,2030,1,0,0,78.8
8,2035,1,0,0,79.9
8,2040,1,0,0,81
8,2045,1,0,0,82
8,2050,1,0,0,83.1
8,2055,1,0,0,84.1
8,2060,1,0,0,85.2
8,2065,1,0,0,86.2
8,2070,1,0,0,87.1
8,2075,1,0,0,88.1
8,2080,1,0,0,89.1
8,2085,1,0,0,90.1
8,2090,1,0,0,91.2
8,2095,1,0,0,92.2
8,2010,2,0,0,80.9
8,2015,2,0,0,81.9
8,2020,2,0,0,82.8
8,2025,2,0,0,83.7
8,2030,2,0,0,84.7
8,2035,2,0,0,85.7
8,2040,2,0,0,86.7
8,2045,2,0,0,87.6
8,2050,2,0,0,88.6
8,2055,2,0,0,89.6
8,2060,2,0,0,90.6
8,2065,2,0,0,91.6
8,2070,2,0,0,92.6
8,2075,2,0,0,93.5
8,2080,2,0,0,94.5
8,2085,2,0,0,95.5
8,2090,2,0,0,96.5
8,2095,2,0,0,97.5
8,2010,0,0,0,77.5
8,2015,0,0,0,78.6
8,2020,0,0,0,79.7
8,2025,0,0,0,80.7
8,2030,0,0,0,81.8
8,2035,0,0,0,82.8
8,2040,0,0,0,83.9
8,2045,0,0,0,84.9
8,2050,0,0,0,85.9
8,2055,0,0,0,86.9
8,2060,0,0,0,87.9
8,2065,0,0,0,88.9
8,2070,0,0,0,89.8
8,2075,0,0,0,90.7
8,2080,0,0,0,91.7
8,2085,0,0,0,92.7
8,2090,0,0,0,93.7
8,2095,0,0,0,94.7
12,2010,1,0,0,72.2
12,2015,1,0,0,73.3
12,2020,1,0,0,74.4
12,2025,1,0,0,75.4
12,2030,1,0,0,76.4
12,2035,1,0,0,77.2
12,2040,1,0,0,78.1
12,2045,1,0,0,79.1
12,2050,1,0,0,80.1
12,2055,1,0,0,81
12,2060,1,0,0,82
12,2065,1,0,0,83
12,2070,1,0,0,84.1
12,2075,1,0,0,85.1
12,2080,1,0,0,86.1
12,2085,1,0,0,87.1
12,2090,1,0,0,88.1
12,2095,1,0,0,89
12,2010,2,0,0,75.3
12,2015,2,0,0,76.7
12,2020,2,0,0,77.9
12,2025,2,0,0,79
12,2030,2,0,0,80.1
12,2035,2,0,0,81.1
12,2040,2,0,0,82
12,2045,2,0,0,83
12,2050,2,0,0,83.9
12,2055,2,0,0,84.9
12,2060,2,0,0,85.9
12,2065,2,0,0,86.8
12,2070,2,0,0,87.9
12,2075,2,0,0,88.9
12,2080,2,0,0,89.8
12,2085,2,0,0,90.9
12,2090,2,0,0,91.9
12,2095,2,0,0,92.8
12,2010,0,0,0,73.8
12,2015,0,0,0,75
12,2020,0,0,0,76.2
12,2025,0,0,0,77.2
12,2030,0,0,0,78.2
12,2035,0,0,0,79.1
12,2040,0,0,0,80.1
12,2045,0,0,0,81
12,2050,0,0,0,82
12,2055,0,0,0,83
12,2060,0,0,0,83.9
12,2065,0,0,0,84.9
12,2070,0,0,0,86
12,2075,0,0,0,87
12,2080,0,0,0,88
12,2085,0,0,0,89
12,2090,0,0,0,90
12,2095,0,0,0,90.9
24,2010,1,0,0,49.9
24,2015,1,0,0,51.9
24,2020,1,0,0,53.2
24,2025,1,0,0,54.4
24,2030,1,0,0,55.6
24,2035,1,0,0,56.6
24,2040,1,0,0,57.5
24,2045,1,0,0,58.7
24,2050,1,0,0,60
24,2055,1,0,0,61.3
24,2060,1,0,0,62.8
24,2065,1,0,0,64.2
24,2070,1,0,0,65.5
24,2075,1,0,0,66.9
24,2080,1,0,0,68.3
24,2085,1,0,0,69.9
24,2090,1,0,0,71.3
24,2095,1,0,0,72.7
24,2010,2,0,0,52.8
24,2015,2,0,0,54.8
24,2020,2,0,0,56.4
24,2025,2,0,0,57.7
24,2030,2,0,0,59.1
24,2035,2,0,0,60.3
24,2040,2,0,0,61.4
24,2045,2,0,0,62.7
24,2050,2,0,0,64.2
24,2055,2,0,0,65.6
24,2060,2,0,0,67.1
24,2065,2,0,0,68.5
24,2070,2,0,0,70
24,2075,2,0,0,71.3
24,2080,2,0,0,72.7
24,2085,2,0,0,74.2
24,2090,2,0,0,75.6
24,2095,2,0,0,77
24,2010,0,0,0,51.4
24,2015,0,0,0,53.4
24,2020,0,0,0,54.8
24,2025,0,0,0,56.1
24,2030,0,0,0,57.3
24,2035,0,0,0,58.4
24,2040,0,0,0,59.4
24,2045,0,0,0,60.7
24,2050,0,0,0,62.1
24,2055,0,0,0,63.4
24,2060,0,0,0,64.9
24,2065,0,0,0,66.3
24,2070,0,0,0,67.7
24,2075,0,0,0,69.1
24,2080,0,0,0,70.5
24,2085,0,0,0,72
24,2090,0,0,0,73.4
24,2095,0,0,0,74.8
31,2010,1,0,0,67.8
31,2015,1,0,0,69.3
31,2020,1,0,0,70.4
31,2025,1,0,0,71.4
31,2030,1,0,0,72.2
31,2035,1,0,0,73.1
31,2040,1,0,0,74.2
31,2045,1,0,0,75.3
31,2050,1,0,0,76.4
31,2055,1,0,0,77.4
31,2060,1,0,0,78.4
31,2065,1,0,0,79.3
31,2070,1,0,0,80.4
31,2075,1,0,0,81.5
31,2080,1,0,0,82.5
31,2085,1,0,0,83.6
31,2090,1,0,0,84.6
31,2095,1,0,0,85.5
31,2010,2,0,0,73.7
31,2015,2,0,0,74.9
31,2020,2,0,0,75.9
31,2025,2,0,0,76.8
31,2030,2,0,0,77.6
31,2035,2,0,0,78.3
31,2040,2,0,0,79.4
31,2045,2,0,0,80.4
31,2050,2,0,0,81.5
31,2055,2,0,0,82.5
31,2060,2,0,0,83.4
31,2065,2,0,0,84.4
31,2070,2,0,0,85.4
31,2075,2,0,0,86.4
31,2080,2,0,0,87.4
31,2085,2,0,0,88.4
31,2090,2,0,0,89.5
31,2095,2,0,0,90.4
31,2010,0,0,0,70.8
31,2015,0,0,0,72.1
31,2020,0,0,0,73.2
31,2025,0,0,0,74.2
31,2030,0,0,0,75
31,2035,0,0,0,75.8
31,2040,0,0,0,76.9
31,2045,0,0,0,77.9
31,2050,0,0,0,79
31,2055,0,0,0,79.9
31,2060,0,0,0,80.9
31,2065,0,0,0,81.8
31,2070,0,0,0,82.8
31,2075,0,0,0,83.8
31,2080,0,0,0,84.8
31,2085,0,0,0,85.9
31,2090,0,0,0,86.9
31,2095,0,0,0,87.8
32,2010,1,0,0,72.6
32,2015,1,0,0,73.6
32,2020,1,0,0,74.5
32,2025,1,0,0,75.4
32,2030,1,0,0,76.4
32,2035,1,0,0,77.4
32,2040,1,0,0,78.2
32,2045,1,0,0,79.4
32,2050,1,0,0,80.5
32,2055,1,0,0,81.7
32,2060,1,0,0,82.8
32,2065,1,0,0,84.1
