"isono","year","sexno","ageno","eduno","etfr"
68,2010,0,0,2,5
68,2010,0,0,3,4.66
68,2010,0,0,4,3.92
68,2010,0,0,5,3.14
68,2010,0,0,6,2.4
68,2010,0,0,7,1.82
68,2010,2,0,0,3.36
68,2010,2,0,2,5
68,2010,2,0,3,4.66
68,2010,2,0,4,3.92
68,2010,2,0,5,3.14
68,2010,2,0,6,2.4
68,2010,2,0,7,1.82
70,2010,0,0,0,1.29
70,2010,0,0,2,1.72
70,2010,0,0,3,1.72
70,2010,0,0,4,1.72
70,2010,0,0,5,1.62
70,2010,0,0,6,1.2
70,2010,0,0,7,0.96
70,2010,2,0,0,1.29
70,2010,2,0,2,1.72
70,2010,2,0,3,1.72
70,2010,2,0,4,1.72
70,2010,2,0,5,1.62
70,2010,2,0,6,1.2
70,2010,2,0,7,0.96
72,2010,0,0,0,2.44
72,2010,0,0,2,3.66
72,2010,0,0,3,3.32
72,2010,0,0,4,2.92
72,2010,0,0,5,2.48
72,2010,0,0,6,2
72,2010,0,0,7,1.76
72,2010,2,0,0,2.44
72,2010,2,0,2,3.66
72,2010,2,0,3,3.32
72,2010,2,0,4,2.92
72,2010,2,0,5,2.48
72,2010,2,0,6,2
72,2010,2,0,7,1.76
76,2010,0,0,0,1.8
76,2010,0,0,2,2.53
76,2010,0,0,3,2.53
76,2010,0,0,4,2.53
76,2010,0,0,5,1.68
76,2010,0,0,6,1.37
76,2010,0,0,7,1.15
76,2010,2,0,0,1.8
76,2010,2,0,2,2.53
76,2010,2,0,3,2.53
76,2010,2,0,4,2.53
76,2010,2,0,5,1.68
76,2010,2,0,6,1.37
76,2010,2,0,7,1.15
84,2010,0,0,0,2.77
84,2010,0,0,2,3.62
84,2010,0,0,3,3.27
84,2010,0,0,4,2.9
84,2010,0,0,5,2.15
84,2010,0,0,6,2.01
84,2010,0,0,7,2
84,2010,2,0,0,2.77
84,2010,2,0,2,3.62
84,2010,2,0,3,3.27
84,2010,2,0,4,2.9
84,2010,2,0,5,2.15
84,2010,2,0,6,2.01
84,2010,2,0,7,2
90,2010,0,0,0,3.94
90,2010,0,0,2,6.12
90,2010,0,0,3,5.5
90,2010,0,0,4,4.78
90,2010,0,0,5,3.88
90,2010,0,0,6,3.1
90,2010,0,0,7,2.71
90,2010,2,0,0,3.94
90,2010,2,0,2,6.12
90,2010,2,0,3,5.5
90,2010,2,0,4,4.78
90,2010,2,0,5,3.88
90,2010,2,0,6,3.1
90,2010,2,0,7,2.71
96,2010,0,0,0,1.84
96,2010,0,0,2,2.3
96,2010,0,0,3,2.3
96,2010,0,0,4,2.3
96,2010,0,0,5,1.78
96,2010,0,0,6,1.51
96,2010,0,0,7,1.34
96,2010,2,0,0,1.84
96,2010,2,0,2,2.3
96,2010,2,0,3,2.3
96,2010,2,0,4,2.3
96,2010,2,0,5,1.78
96,2010,2,0,6,1.51
96,2010,2,0,7,1.34
100,2010,0,0,0,1.36
100,2010,0,0,2,1.86
100,2010,0,0,3,1.86
100,2010,0,0,4,1.86
100,2010,0,0,5,1.76
100,2010,0,0,6,1.29
100,2010,0,0,7,1.04
100,2010,2,0,0,1.36
100,2010,2,0,2,1.86
100,2010,2,0,3,1.86
100,2010,2,0,4,1.86
100,2010,2,0,5,1.76
100,2010,2,0,6,1.29
100,2010,2,0,7,1.04
104,2010,0,0,0,1.81
104,2010,0,0,2,2.65
104,2010,0,0,3,2.52
104,2010,0,0,4,2.13
104,2010,0,0,5,1.73
104,2010,0,0,6,1.36
104,2010,0,0,7,1.01
104,2010,2,0,0,1.81
104,2010,2,0,2,2.65
104,2010,2,0,3,2.52
104,2010,2,0,4,2.13
104,2010,2,0,5,1.73
104,2010,2,0,6,1.36
104,2010,2,0,7,1.01
108,2010,0,0,0,4.29
108,2010,0,0,2,4.79
108,2010,0,0,3,4.36
108,2010,0,0,4,3.69
108,2010,0,0,5,2.75
108,2010,0,0,6,2.12
108,2010,0,0,7,1.84
108,2010,2,0,0,4.29
108,2010,2,0,2,4.79
108,2010,2,0,3,4.36
108,2010,2,0,4,3.69
108,2010,2,0,5,2.75
108,2010,2,0,6,2.12
108,2010,2,0,7,1.84
112,2010,0,0,0,1.44
112,2010,0,0,2,1.67
112,2010,0,0,3,1.67
112,2010,0,0,4,1.67
112,2010,0,0,5,1.92
112,2010,0,0,6,1.45
112,2010,0,0,7,1.22
112,2010,2,0,0,1.44
112,2010,2,0,2,1.67
112,2010,2,0,3,1.67
112,2010,2,0,4,1.67
112,2010,2,0,5,1.92
112,2010,2,0,6,1.45
112,2010,2,0,7,1.22
116,2010,0,0,0,2.38
116,2010,0,0,2,2.51
116,2010,0,0,3,2.48
116,2010,0,0,4,2.43
116,2010,0,0,5,2.15
116,2010,0,0,6,1.99
116,2010,0,0,7,1.68
116,2010,2,0,0,2.38
116,2010,2,0,2,2.51
116,2010,2,0,3,2.48
116,2010,2,0,4,2.43
116,2010,2,0,5,2.15
116,2010,2,0,6,1.99
116,2010,2,0,7,1.68
120,2010,0,0,0,4.38
120,2010,0,0,2,5.46
120,2010,0,0,3,5.36
120,2010,0,0,4,4.21
120,2010,0,0,5,2.93
120,2010,0,0,6,2.47
120,2010,0,0,7,2.38
120,2010,2,0,0,4.38
120,2010,2,0,2,5.46
120,2010,2,0,3,5.36
120,2010,2,0,4,4.21
120,2010,2,0,5,2.93
120,2010,2,0,6,2.47
120,2010,2,0,7,2.38
124,2010,0,0,0,1.53
124,2010,0,0,2,1.84
124,2010,0,0,3,1.84
124,2010,0,0,4,1.84
124,2010,0,0,5,1.84
124,2010,0,0,6,1.49
124,2010,0,0,7,1.52
124,2010,2,0,0,1.53
124,2010,2,0,2,1.84
124,2010,2,0,3,1.84
124,2010,2,0,4,1.84
124,2010,2,0,5,1.84
124,2010,2,0,6,1.49
124,2010,2,0,7,1.52
132,2010,0,0,0,2.21
132,2010,0,0,2,2.83
132,2010,0,0,3,2.56
132,2010,0,0,4,2.25
132,2010,0,0,5,1.92
132,2010,0,0,6,1.55
132,2010,0,0,7,1.36
132,2010,2,0,0,2.21
132,2010,2,0,2,2.83
