"isono","year","sexno","ageno","eduno","etfr"
4,2010,0,0,0,6.68
4,2010,0,0,2,9.36
4,2010,0,0,3,8.57
4,2010,0,0,4,7.12
4,2010,0,0,5,5.19
4,2010,0,0,6,3.79
4,2010,0,0,7,3.28
4,2010,2,0,0,6.68
4,2010,2,0,2,9.36
4,2010,2,0,3,8.57
4,2010,2,0,4,7.12
4,2010,2,0,5,5.19
4,2010,2,0,6,3.79
4,2010,2,0,7,3.28
8,2010,0,0,0,1.52
8,2010,0,0,2,1.88
8,2010,0,0,3,1.88
8,2010,0,0,4,1.88
8,2010,0,0,5,1.77
8,2010,0,0,6,1.3
8,2010,0,0,7,1.06
8,2010,2,0,0,1.52
8,2010,2,0,2,1.88
8,2010,2,0,3,1.88
8,2010,2,0,4,1.88
8,2010,2,0,5,1.77
8,2010,2,0,6,1.3
8,2010,2,0,7,1.06
12,2010,0,0,0,2.35
12,2010,0,0,2,2.94
12,2010,0,0,3,2.94
12,2010,0,0,4,2.94
12,2010,0,0,5,2.38
12,2010,0,0,6,2.01
12,2010,0,0,7,1.77
12,2010,2,0,0,2.35
12,2010,2,0,2,2.94
12,2010,2,0,3,2.94
12,2010,2,0,4,2.94
12,2010,2,0,5,2.38
12,2010,2,0,6,2.01
12,2010,2,0,7,1.77
24,2010,0,0,0,5.59
24,2010,0,0,2,6.84
24,2010,0,0,3,6.84
24,2010,0,0,4,5.51
24,2010,0,0,5,4.02
24,2010,0,0,6,2.74
24,2010,0,0,7,2.01
24,2010,2,0,0,5.59
24,2010,2,0,2,6.84
24,2010,2,0,3,6.84
24,2010,2,0,4,5.51
24,2010,2,0,5,4.02
24,2010,2,0,6,2.74
24,2010,2,0,7,2.01
31,2010,0,0,0,2.49
31,2010,0,0,2,2.81
31,2010,0,0,3,2.81
31,2010,0,0,4,2.81
31,2010,0,0,5,2.83
31,2010,0,0,6,2.44
31,2010,0,0,7,1.97
31,2010,2,0,0,2.49
31,2010,2,0,2,2.81
31,2010,2,0,3,2.81
31,2010,2,0,4,2.81
31,2010,2,0,5,2.83
31,2010,2,0,6,2.44
31,2010,2,0,7,1.97
32,2010,0,0,0,2.27
32,2010,0,0,2,2.87
32,2010,0,0,3,2.87
32,2010,0,0,4,2.87
32,2010,0,0,5,2.34
32,2010,0,0,6,1.97
32,2010,0,0,7,1.75
32,2010,2,0,0,2.27
32,2010,2,0,2,2.87
32,2010,2,0,3,2.87
32,2010,2,0,4,2.87
32,2010,2,0,5,2.34
32,2010,2,0,6,1.97
32,2010,2,0,7,1.75
36,2010,0,0,0,1.8
36,2010,0,0,2,2.26
36,2010,0,0,3,2.26
36,2010,0,0,4,2.26
36,2010,0,0,5,2.26
36,2010,0,0,6,1.84
36,2010,0,0,7,1.62
36,2010,2,0,0,1.8
36,2010,2,0,2,2.26
36,2010,2,0,3,2.26
36,2010,2,0,4,2.26
36,2010,2,0,5,2.26
36,2010,2,0,6,1.84
36,2010,2,0,7,1.62
40,2010,0,0,0,1.36
40,2010,0,0,2,1.6
40,2010,0,0,3,1.6
40,2010,0,0,4,1.6
40,2010,0,0,5,1.6
40,2010,0,0,6,1.29
40,2010,0,0,7,1.32
40,2010,2,0,0,1.36
40,2010,2,0,2,1.6
40,2010,2,0,3,1.6
40,2010,2,0,4,1.6
40,2010,2,0,5,1.6
40,2010,2,0,6,1.29
40,2010,2,0,7,1.32
44,2010,0,0,0,1.88
44,2010,0,0,2,2.54
44,2010,0,0,3,2.54
44,2010,0,0,4,2.54
44,2010,0,0,5,1.92
44,2010,0,0,6,1.62
44,2010,0,0,7,1.29
44,2010,2,0,0,1.88
44,2010,2,0,2,2.54
44,2010,2,0,3,2.54
44,2010,2,0,4,2.54
44,2010,2,0,5,1.92
44,2010,2,0,6,1.62
44,2010,2,0,7,1.29
48,2010,0,0,0,2.48
48,2010,0,0,2,5.38
48,2010,0,0,3,3.48
48,2010,0,0,4,3.23
48,2010,0,0,5,2.25
48,2010,0,0,6,2.29
48,2010,0,0,7,2.3
48,2010,2,0,0,2.48
48,2010,2,0,2,5.38
48,2010,2,0,3,3.48
48,2010,2,0,4,3.23
48,2010,2,0,5,2.25
